#漢字	音標	解釋
緝	tɕʰiəʔ7	
緞	tõ5	
緩	tɕiɑ̃1	
緩	xõ3	
縷	nəɯ3	
編	piẽ1	
緣	ʯɛ̃2	
縛	fu5	
縫	fən2	
縫	fən5	
纏	tsʰẽ2	
縊	iəʔ7	
繽	pin1	
纓	in1	
縮	səʔ7	
繆	miɔ5	
繳	tɕiɔ3	
缸	kɑ̃1	
缺	tʂʰʯɪʔ7	
罄	tɕʰin5	
罐	kõ5	
网	uɑ̃3	
罕	xɛ̃3	
羅	no2	
罰	fɛʔ8	
罷	pa5	
罩	tsɔ5	
罪	tɕi5	白
罪	tsei5	文
置	tsɿ5	
署	ʂʯ3	
羊	iɑ̃2	
羌	tɕʰiɑ̃1	
美	mei3	
羔	kɔ1	
羞	ɕiəɯ1	
羡	ɕiẽ5	
羣	tʂʰʯən2	
羹	kən1	
羽	ʯ3	
翁	uən1	
翅	tsɿ5	
翎	nin2	
翹	tɕʰiɔ5	
翠	tsʰei5	
翡	fei3	
翩	pʰiẽ1	
翰	xɛ̃5	
翻	fɛ̃1	
翼	iəʔ7	
耀	iɔ5	
老	nɔ3	
考	kʰɔ3	
者	tsɪ3	
而	ɔ2	
耍	ʂua3	
耐	nɛ5	
耕	kən1	
耗	mɔ2	
耗	xɔ5	
耙	pa1	
耙	pa5	
耳	ɔ3	
恥	tsʰɿ3	
耽	tɛ̃1	
耿	kən3	
聶	niɪʔ7	
聊	niɔ2	
聾	nən2	
職	tsəʔ7	
聯	niẽ2	
聘	pʰin5	
聚	tʂʯ5	
聰	tsʰən1	
肅	səʔ7	
肄	i5	
肆	sɿ5	
肉	ʯəʔ7	
肋	nəʔ7	
肌	tɕi1	
肘	tsəɯ3	
肚	təɯ3	
肝	kɛ̃1	文；～炎
肝	kiẽ1	白
腸	tsʰɑ̃2	
股	ku3	
肢	tsɿ1	
肤	fu1	
肥	fei1	地名：合～
肥	fei2	
肩	tɕiẽ1	
肪	fɑ̃3	
骯	ŋɑ̃1	
肯	kʰən3	
育	ʯəʔ7	
肴	iɔ2	
肺	fei5	
腎	sən5	
腫	tʂʯən3	
脹	tsɑ̃5	
脅	ɕiɪʔ7	
胃	uei5	
膽	tɛ̃3	
背	pei1	
背	pei5	后～
胎	tʰɛ1	
胖	pʰɑ̃5	
胚	pʰei1	
勝	sən5	
胞	pɔ1	
胡	xu2	
朧	tʂʯən1	
胯	kʰua3	
胯	kʰa5	～档
膠	tɕiɔ1	
胸	ʂʯən1	
能	nən2	
脂	tsɿ3	
脆	tɕʰi5	白
脆	tsʰei5	文
脉	mɪʔ7	
脊	tɕiəʔ7	
脏	tsɑ̃1	
脏	tsɑ̃5	心～
臍	tɕʰi2	
腦	nɔ3	
膿	nən2	
腳	tɕioʔ7	
脯	pʰu3	
脫	tʰoʔ7	
臉	niẽ3	
脾	pʰi2	
臘	nɛʔ7	
腋	iəʔ7	
腌	iẽ1	
腐	fu3	
腑	fu3	
腔	tɕʰiɑ̃1	
腕	uõ3	
腥	ɕin1	
腮	sɛ1	
腰	iɔ1	
膩	ni5	
靦	miẽ3	
騰	tʰən2	
腿	tʰi3	白
腿	tʰei3	文
膀	pɑ̃3	
膏	kɔ1	～药
膘	piɔ1	
膜	mo2	
膝	ɕiəʔ7	
膨	pʰən2	
膳	sẽ5	
臀	tʰən2	
臂	pi5	文
臂	pei5	白
臃	ʯən1	
臣	tsʰən2	
自	tsɿ5	
臭	tsʰəɯ5	
至	tsɿ5	
致	tsɿ5	
臻	tsən1	
臼	tɕiəɯ5	
舀	iɔ3	
舅	tɕiəɯ5	
舌	sɪʔ8	
舍	sɪ3	
舒	ʂʯ1	
舔	tʰiẽ3	
舜	ʂʯən5	
舞	u3	
舟	tsəɯ1	
航	xɑ̃2	
般	pɛ̃1	
艦	tɕiẽ5	
艙	tsʰɑ̃1	
舵	to5	
船	tʂʰʯɛ̃2	
艇	tʰin3	
良	niɑ̃2	
艱	tɕiẽ1	
色	sɪʔ7	
艳	iẽ5	
藝	i5	
艾	ŋɛ5	
節	tɕiɪʔ7	
芋	tʂʯ5	
芋	ʯ5	
芒	mɑ̃2	
芙	fu2	
芝	tsɿ1	
芥	kɛ5	～菜
蘆	nəɯ2	
芬	fən1	
芭	pa1	
花	xua1	
芳	fɑ̃1	
芹	tɕʰin2	
芽	ia2	
葦	uei3	
蒼	tsʰɑ̃1	
苏	səɯ1	
苔	tʰɛ2	
苗	miɔ2	
苞	pɔ1	
苟	kəɯ3	
若	ʐoʔ7	
苦	kʰu3	
苯	pən5	
英	in1	
蘋	pʰin2	
茂	mɔ5	
范	fɛ̃5	
茄	tɕʰiɪ2	
茅	mɔ2	
莖	tɕin1	
繭	tɕiẽ3	
茫	mɑ̃2	
茭	kɔ1	
茵	xuei2	
茶	tsʰa2	
茸	ʯən2	
荀	ʂʯən2	
荆	tɕin1	
草	tsʰɔ3	
薦	tɕiẽ5	
荒	xuɑ̃1	
荔	ni5	
蕎	tɕʰiɔ2	
蕩	tɑ̃5	
榮	ʯən2	
葷	xuən1	
葷	niẽ3	
荫	in1	
藥	ioʔ7	
荷	xo2	
莓	mei2	
莫	moʔ7	
蓮	niẽ2	
获	xoʔ7	
瑩	in2	
鶯	in1	
莽	mɑ̃3	
菇	ku1	
菊	tʂʯəʔ7	
菌	tʂʯən5	
菜	tsʰɛ5	
菠	po1	
菩	pʰu2	
菱	nin2	
菲	fei1	
萄	tʰɔ2	
萌	mən2	
萍	pʰin2	
萎	uei3	
蘿	no2	
螢	in2	
營	in2	
蕭	ɕiɔ1	
薩	sɛʔ7	
落	noʔ7	
葆	pɔ3	
著	tʂʯ5	
葛	uo1	
葛	kɪʔ7	
葡	pʰu2	
董	tən3	
葬	tsɑ̃5	
葱	tsʰən1	
葵	kʰuei2	
蔣	tɕiɑ̃3	
蒙	mən1	
蒜	sõ5	
蒲	pʰu2	
蒸	tsən1	
蓄	ʂʯəʔ7	
蓉	ʯən2	
蓑	so1	
蓖	pi5	文
蓖	pei5	白
藍	nɛ̃2	
蓬	pʰən2	
蔑	miɪʔ7	
蔓	mɛ̃5	
蔗	tsɪ5	
蔡	tsʰɛ5	
蔬	səɯ1	文
藹	ŋɛ3	
蔽	pi5	文
蔽	pei5	白
蕉	tɕiɔ1	
蕊	ʐuei5	
蘊	ʯən5	
薄	poʔ7	
薅	xɔ1	
薛	ɕiɪʔ7	
薪	ɕin1	
薯	ʂʯ3	
薰	ʂʯən1	
藉	tɕiəʔ7	
藏	tsʰɑ̃2	
藏	tsɑ̃5	西～
藐	miɔ3	
藕	ŋəɯ3	
藤	tʰən2	
藻	tsɔ3	
蘸	tsɛ̃5	
虎	xu3	
虜	no3	
虐	nioʔ7	
虑	ʯ5	
虔	tɕʰiẽ2	
虛	ʂʯ1	
虞	ʯ2	
蟲	tʂʰʯən2	
虱	səʔ7	
虹	xuən2	文
雖	sei1	
蝦	ɕia1	
蝕	səʔ7	
蟻	i5	
螞	ma3	
蚊	uən2	
蚌	pɑ̃5	
蚓	in3	
蠶	tsʰõ2	
蚜	ia2	
蚤	tsɔ3	
蛀	tʂʯ5	
蛆	tɕʰi1	
蛇	sɪ2	
蛋	tɛ̃5	
蛔	xuei2	
蛙	ua1	
蛛	tʂʯ1	
蠻	mɛ̃2	
蟄	tsəʔ7	
蛾	uo2	
蜂	fən1	
蜇	tsɪʔ7	
蜓	tʰin2	
蛻	tʰi5	白
蛻	tʰei5	文
蝸	uo1	
蜘	tsɿ1	文
蜘	tsɪ1	白
蜜	miəʔ7	
蠟	nɛʔ7	
蜻	tɕʰin1	
蠅	in2	
蟬	tsʰɛ̃2	
蝗	xuɑ̃2	
蝙	piẽ1	
蝠	fəʔ7	
蝶	tiɪʔ7	
螃	pʰɑ̃2	
融	ʯən2	
螳	tʰɑ̃2	
蟆	ma2	
蟑	tsɑ̃1	
蟒	mɑ̃3	
蟹	xɛ3	
蟾	tsʰɛ̃2	
蠢	tʂʰʯən3	
血	ɕiɪʔ7	
行	xɑ̃2	
行	ɕin2	～为
行	ɕin5	
銜	kʰɛ̃2	
銜	ɕiẽ2	文
街	kɛ1	白
街	tɕiɛ1	文
衙	ia2	
衡	xən2	
衣	i1	
補	pu3	
表	piɔ3	
衫	sɛ̃1	
襯	tsʰən5	
衰	ʂuɛ1	
衷	tʂʯən1	
袁	ʯɛ̃2	
襖	ŋɔ3	
袈	tɕia1	
袋	tɛ5	
袍	pʰɔ2	
袒	tʰɛ̃3	
袖	ɕiəɯ5	
袖	iəɯ5	
袜	uɛʔ7	
被	pei5	
襲	ɕiəʔ7	
裁	tsʰɛ2	
裂	niɪʔ7	
裝	tʂuɑ̃1	
裕	ʯ5	
裙	tʂʰʯən2	
褲	kʰu5	
裨	pei5	
裱	piɔ3	
裴	pʰei2	
裸	no3	
裹	ko3	
褂	kua5	
褒	pɔ1	
褚	tʂʰʯ3	
褥	ʯəʔ7	
褪	tʂʰuei2	
褪	tʰei5	～色
褪	tʰən5	白
褶	tsɪʔ7	
襄	ɕiɑ̃1	
襟	tɕin1	
襟	pʰɛ̃5	
西	ɕi1	
要	iɔ1	～求
要	iɔ5	
覃	tiẽ5	
覆	fəʔ7	
見	tɕiẽ5	
見	tɕin5	听～
觀	kõ1	
規	kuei1	
覓	xɛ̃5	～菜
覓	miəʔ7	
視	sɿ5	
覽	nɛ̃3	
覺	kɔ5	
覺	tɕioʔ7	
角	kɪʔ7	一～钱
角	koʔ7	
解	kɛ3	
解	tɕiɛ3	文；～放
解	ɕiɪ5	姓
觸	tʂʯəʔ7	
言	iẽ2	
詹	tsɛ̃1	
譽	ʯ5	
謄	tʰən2	
誓	sɿ5	
警	tɕin3	
譬	pʰi5	
計	tɕi5	
訂	tin5	
訃	pʰu5	
認	ʐən5	
譏	tɕi1	
討	tʰɔ3	
讓	ʐɑ̃5	
訖	tɕʰiəʔ7	
訓	ʂʯən5	
議	i5	
訊	ʂʯən5	
記	tɕi5	～录
記	tɕin5	忘～
講	kɑ̃3	白
講	tɕiɑ̃3	文
諱	xuei5	
訝	ia5	
許	ʂʯ3	
訛	uo2	
論	nən5	
訟	sən5	
諷	fən3	
設	sɪʔ7	
訪	fɑ̃3	
訣	tʂʯɪʔ7	
证	tsən5	
評	pʰin3	
識	səʔ7	
詐	tsa5	
訴	səɯ5	
診	tsən3	
謅	tsəɯ1	
詞	tsʰɿ2	
詔	tsɔ1	
譯	iəʔ7	
試	sɿ5	
詩	sɿ1	
誠	tsʰən2	
誅	tʂʯ1	
話	xua5	
誕	tɛ̃5	
詭	kuei3	
該	kɛ1	
詳	tɕʰiɑ̃2	
誣	u1	
語	ʯ3	
誤	u5	
誘	iəɯ5	
誨	xuei3	
說	ʂoʔ7	
誦	sən5	
請	tɕʰin3	
諸	tʂʯ1	
諾	noʔ7	
讀	təʔ7	
誹	fei3	
課	ko3	
課	kʰo5	
誰	ʂuei2	
調	tʰiɔ2	～节
調	tiɔ5	音～
諒	niɑ̃5	
談	tʰɛ̃2	
誼	i2	
諜	tiɪʔ7	
謊	xuɑ̃3	
諫	tɕiẽ5	
諧	ɕiɪ2	
謂	uei5	
讒	tsʰɛ̃2	
諺	iẽ5	
謎	mi2	文；～语
謎	mei2	白
謝	ɕiɪ5	
謠	iɔ2	
謗	pɑ̃5	
謙	tɕʰiẽ1	
謹	tɕin3	
譚	tʰɛ̃2	
譜	pʰu3	
譴	tɕʰiẽ3	
谷	kuəʔ7	
豁	xoʔ7	
豆	təɯ5	
豚	tʰən2	
象	ɕiɑ̃5	
豪	xɔ2	
豫	ʯ5	
豹	pɔ5	
豺	tsʰɛ2	
貂	tiɔ1	
貌	mɔ5	
貝	pei5	
貞	tsən1	
負	fu5	
貢	kuən5	
財	tsʰɛ2	
責	tsɪʔ7	
賢	ɕiẽ2	
敗	pɛ5	
貨	xo5	
質	tsəʔ7	
販	fɛ̃5	
貪	tʰɛ̃1	
貧	pʰin2	
貶	piẽ3	
購	kəɯ5	
貫	kõ5	
貫	kuɛ̃5	
貳	ɔ5	
賤	tɕiẽ5	
貼	tʰiɪʔ7	
貴	kuei5	
貸	tɛ5	
貿	mɔ5	
費	fei5	
賀	xo5	
賊	tsɪʔ8	
賈	tɕia3	
賄	xuei5	
賃	nin5	
贓	tsɑ̃1	
資	tsɿ1	
賒	sɪ1	
賦	fu5	
賭	təɯ3	
贖	ʂʯəʔ7	
賞	sɑ̃3	
賜	tsʰɿ5	
賡	kən1	
賠	pʰei2	
賴	nɛ5	
贅	tʂuei5	
賺	tʂuɛ̃5	
賽	sɛ5	
赞	tsɛ̃5	
贈	tsən5	
贏	in2	
赤	tsʰəʔ7	
赦	sɪ5	
赫	xoʔ7	
走	tsəɯ3	
赳	tɕiəɯ1	
赴	fu5	
趙	tsɔ5	
趕	kɛ̃3	文
趕	kiẽ3	白
起	tɕʰi3	
趁	tsʰən5	
超	tsʰɔ1	
越	ʯɪʔ7	
趨	tʂʰʯ1	
趟	tʰɑ̃5	
趣	tʂʰʯ5	
足	tsəʔ7	
趴	pa1	
趾	tsɿ3	
躍	iɔ5	
蹌	tɕʰiɑ̃5	
跋	po3	
跌	tiɪʔ7	
跑	pʰɔ3	
距	tʂʯ5	
跟	kən1	
跨	kʰa2	白
跨	kʰua5	文
跪	kuei5	
路	nəɯ5	
跳	tʰiɔ5	
踐	tɕiẽ5	
跺	to5	
躊	tsʰəɯ2	
踏	tʰɛʔ7	
踢	tʰiəʔ7	
踩	tsʰɛ3	
蹤	tsən1	
踹	tʂʰuɛ5	
蹄	tʰi2	
蹑	niɪʔ7	
蹦	pən5	
蹬	tən1	
蹭	tsʰən5	
蹲	tən1	
躁	sɔ1	
躁	tsɔ5	
身	sən1	
躬	kuən1	
躲	to3	
躺	tʰɑ̃3	
車	tʂʯ1	车马炮
車	tsʰɪ1	
軌	kuei3	
軒	ʂʯɛ̃1	
轉	tʂʯɛ̃3	
轉	tʂʯɛ̃5	
輪	nən2	
軟	ʯɛ̃3	
轟	xuən1	
軸	tsɿ1	
軸	tʂʯəʔ8	
輕	tɕʰin1	
載	tsɛ3	
載	tsɛ5	～重
轎	tɕiɔ5	
較	kɔ5	
較	tɕiɔ5	
輔	fu3	
輛	niɑ̃3	
輩	pei5	
輝	xuei1	
輯	tɕiəʔ7	
輸	ʂʯ1	
轅	ʯɛ̃2	
轄	xɛʔ7	
轍	tsɪʔ7	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辟	pʰiəʔ7	
辣	nɛʔ7	
辨	piẽ5	
辯	piẽ5	
辮	piẽ5	
辰	tsʰən2	
辱	ʯəʔ7	
邊	piẽ1	
遼	niɔ2	
达	tɛʔ7	
迁	tɕʰiẽ1	
迂	ʯ1	
迅	ʂʯən5	
過	ko1	
過	ko5	～去
邁	mɛ5	
迎	in2	
運	ʯən5	
近	tɕin5	
返	fɛ̃3	
還	xɛ2	
還	xuɛ̃2	
進	tɕin5	
遠	ʯɛ̃3	
違	uei2	
連	kʰuei2	
連	niẽ2	
遲	tsʰɿ2	
迢	tʰiɔ2	
迥	tʂʯən3	
迫	pʰɪʔ7	
述	ʂʯəʔ7	
迷	mi2	文
迸	pən5	
迹	tɕiəʔ7	
追	tʂuei1	
退	tʰi5	白
退	tʰei5	文
退	tʰən5	白；往后～
送	sən5	
適	səʔ7	
逃	tʰɔ2	
逆	niəʔ7	
選	ɕiẽ3	
透	tʰəɯ5	
逐	tʂʯəʔ7	
遞	ti5	
途	tʰəɯ2	
逗	təɯ5	
通	tʰən1	
逛	kuɑ̃5	
逝	sɿ5	
逞	tsʰən3	
速	səʔ7	
造	tsʰɔ5	
逢	fən2	
逮	tɛ3	
逸	iəʔ7	
逼	piəʔ7	
逾	ʯ5	
遁	tən5	
遂	sei2	
遇	ʯ5	
遍	piẽ5	
遍	pʰiẽ5	～地
道	tɔ5	
遣	tɕʰiẽ3	
遥	iɔ2	
遨	ŋɔ5	
遭	tsɔ1	
遮	tsɪ1	
遵	tsən1	
避	pi5	文
避	pei5	白
邀	iɔ1	
邂	ɕiɪ5	
邓	tən5	
邢	ɕin2	
那	na5	文
那	nɛ5	白
邦	pɑ̃1	
邪	ɕiɪ2	
郵	iəɯ2	
邵	sɔ5	
鄒	tsəɯ1	
鄰	nin2	
郁	ʯəʔ7	
郊	tɕiɔ1	
郎	nɑ̃2	
鄭	tsən5	
郡	tʂʯən5	
部	pu5	
郭	koʔ7	
都	təɯ1	
鄂	ŋoʔ7	
鄙	pi3	
酉	iəɯ3	
酌	tʂoʔ7	
配	pʰei5	
酒	tɕiəɯ3	
醞	ʯən5	
酣	xɛ̃1	
酥	səɯ1	
酬	tsʰəɯ2	
醬	tɕiɑ̃5	
酷	kʰuəʔ7	
酸	sõ1	
釀	niɑ̃5	
醇	tʂʰʯən2	
醉	tɕi5	白
醉	tsei5	文
醋	tsʰəɯ5	
醒	ɕin3	
釉	iəɯ5	
釋	səʔ7	
里	ni3	
重	tʂʰʯən2	～复
重	tʂʯən5	～要
野	iɪ3	
量	niɑ̃2	～布
量	niɑ̃5	
金	tɕin1	
釜	fu3	
鉴	tɕiẽ5	
针	tsən1	
釘	tin1	洋～
釘	tin5	～木头
釣	tiɔ5	
釵	tsʰɛ1	
鈍	tən5	
鈔	tsʰɔ1	
钟	tʂʯən1	
鋼	kɑ̃1	
鑰	ioʔ7	
欽	tɕʰin1	
鈞	tʂʯən1	
鉤	kəɯ1	
錢	tɕʰiẽ2	
鉗	tɕʰiẽ2	
鉢	poʔ7	
鑽	tsõ1	
鑽	tsõ5	
鐵	tʰiɪʔ7	
鈴	nin2	
鉛	tɕʰiẽ1	
鉚	mɔ3	
鐸	toʔ7	
銬	kʰɔ5	
銅	tʰən2	
鍘	tsɛʔ7	
銘	min1	
鉸	tɕiɔ1	
铲	tsʰɛ̃3	
銀	in2	
鑄	tʂʯ5	
鋪	pʰu1	～路
鋪	pʰu5	店～
链	niẽ5	
鏗	kʰən1	
銷	ɕiɔ1	
鎖	so3	
鋤	tsʰəɯ2	
鍋	ko1	
鏽	ɕiəɯ5	
銼	tsʰo2	
銼	tsʰo5	
鋒	fən1	
銳	ʐuei5	
錯	tsʰo5	
錨	mɔ2	
錫	ɕiəʔ7	
錮	ku5	
鑼	no2	
錘	tʂʰuei2	
錐	tʂuei1	
錦	tɕin3	
錠	tin5	
鍵	tɕiẽ5	
鋸	tʂʯ5	～子
鋸	kiɪ5	动词
鍬	tɕʰiɔ1	
鍛	tõ5	
鍍	təɯ5	
鎮	tsən5	
鑷	niɪʔ7	
鏢	piɔ1	
鏡	tɕin5	
鏡	tʂʰʯən5	
鐲	tʂoʔ8	
镰	niẽ2	
鑲	ɕiɑ̃1	
鑲	nɑ̃2	
長	tsʰɑ̃2	
長	tsɑ̃3	
門	mən2	
閂	ʂuɛ̃1	
閃	sẽ3	
閆	iẽ2	
閉	pi5	文
閉	pei5	白
問	uən5	
闖	kʰuɑ̃3	
閏	ʯən5	
闲	ɕiẽ2	
間	kɛ̃1	白；中～
間	tɕiẽ1	时～
悶	mən5	
閘	tsɛʔ7	
鬧	nɔ5	
閨	kuei1	
聞	uən2	
閩	min3	
閥	fɛʔ7	
閣	koʔ7	
閱	ʯɪʔ7	
閹	tɕiəɯ1	
閹	iẽ1	
閻	iẽ2	
闊	kʰoʔ7	
阜	fu3	地名：～阳
隊	ti5	白
隊	tei5	文
阮	ʯɛ̃3	
防	fɑ̃2	
陽	iɑ̃2	
陰	in1	
陣	tsən5	
階	tɕiɛ1	
阻	tsəɯ3	
阿	a1	
陀	tʰo2	
附	fu5	
際	tɕi5	
陸	nəʔ7	
隴	nən3	
陳	tsʰən2	
陋	nəɯ5	
陌	mɪʔ7	
降	tɕʰiɑ̃2	投～
降	tɕiɑ̃5	下～
限	ɕiẽ5	
陝	sɛ̃3	
陛	pi5	
陡	təɯ3	
院	ʯɛ̃5	
除	tʂʰʯ2	
險	ɕiẽ3	
陪	pʰei2	
陵	nin2	
陶	tʰɔ2	
陷	kʰɛ̃5	白
陷	ɕiẽ5	文
隆	nən2	
隋	sei2	
隨	sei2	文
隨	tɕʰi3	白；～便
隱	in3	
隔	kɪʔ7	
隘	ŋɛ5	
隙	ɕiəʔ7	
障	tsɑ̃5	
隧	sei5	
隶	ni5	
難	nɛ̃2	
難	nɛ̃5	患～
雀	tɕʰioʔ7	
雁	iẽ5	
雄	ʂʯən2	
雄	ti5	白
雄	uo5	
雅	ia3	
集	tɕiəʔ7	
雇	ku5	
雌	tsʰɿ1	
雍	ʯən1	
雕	tiɔ1	
雨	ʯ3	
雪	ɕiɪʔ7	
零	nin2	
雷	ni2	白
雷	nei2	文
雹	pʰɔ5	
霧	u5	
需	ʂʯ1	
霄	ɕiɔ1	
震	tsən5	
霉	mei2	
霍	xoʔ7	
霜	ʂuɑ̃1	
霞	ɕia2	
露	nəɯ5	
霸	pa5	
青	tɕʰin1	
靖	tɕin5	
靜	tɕin5	
非	fei1	
靠	kʰɔ5	
面	miẽ5	
革	kɪʔ7	
靴	ʂʯɪ1	
靶	pa3	
鞋	xɛ2	白
鞋	ɕiɛ2	文
鞍	ŋɛ̃1	
鞘	tɕʰiɔ5	
鞭	piẽ1	
韋	uei3	
韌	ʐən5	
韓	xɛ̃2	
韭	tɕiəɯ3	
音	in1	
韵	ʯən5	
頁	iɪʔ7	
頂	tin3	
頃	tɕʰin3	
項	xɑ̃5	白
項	ɕiɑ̃5	文
順	ʂʯən5	
须	ʂʯ1	
頑	uɛ̃2	
顧	ku5	
頓	tən5	
頒	pɛ̃1	
頌	sən5	
預	ʯ5	
領	nin3	
頗	pʰo3	
頸	tɕin3	
頻	pʰin2	
穎	in3	
顆	kʰo1	
題	tʰi2	
顏	iẽ2	
額	ŋɪʔ7	
顛	tiẽ1	
顫	tsẽ5	
顴	tʂʰʯɛ̃2	
風	fən1	
飄	pʰiɔ1	
飛	fei1	
食	səʔ7	伙～
食	səʔ8	鸡～
餐	tsʰɛ̃1	
饥	tɕi1	
飩	tən5	
飪	ʐən5	
飯	fɛ̃5	
飲	in3	
餞	tɕiẽ5	
飾	səʔ7	
飽	pʰɔ2	
飽	pɔ3	
飼	sɿ5	
餌	ɔ3	
饒	ʐɔ2	
餃	tɕiɔ3	
餅	pin3	
餓	ŋo5	
餒	nin5	
餛	xuən2	
餡	ɕiẽ5	
館	kõ3	
饋	kʰuei5	
饞	tsʰɛ̃2	
餾	niəɯ2	
饅	mɛ̃2	
首	səɯ3	
香	ɕiɑ̃1	
馨	ɕin1	
馬	ma3	
馱	tʰo2	
馳	tsʰɿ2	
驅	tʂʰʯ1	
駁	poʔ7	
驢	ʯ2	
駛	sɿ3	
駒	tʂʯ1	
駐	tʂʯ5	
駝	tʰo2	
駕	tɕia5	
罵	ma5	
驕	tɕiɔ1	
駱	noʔ7	
駭	xɪʔ7	
驗	iẽ5	
駿	tʂʯən5	
騎	tɕʰi2	
騙	pʰiẽ5	
騷	sɔ1	
騾	no2	
驟	tsəɯ5	
骨	kuəʔ7	
骷	kʰu1	
髓	ɕi3	白
髓	sei3	文
高	kɔ1	
髻	tɕi5	
鬃	tsən1	
鬢	pin5	
鬼	kuei3	
魁	kʰuei1	
魂	xuən2	
魄	pʰɪʔ7	
魏	uei5	
魔	mo2	
魚	ʯ2	
魯	nəɯ3	
鮎	niẽ2	
鮑	pɔ5	
鮮	ɕiẽ1	
鰱	niẽ2	
鯉	ni3	
鯨	tɕin1	
鰓	sɛ1	
鰍	tɕʰiəɯ1	
鯿	piẽ1	
鱉	piɪʔ7	
鰻	kuei5	
鱔	sẽ5	
鱗	nin2	
鳥	niɔ3	
鳩	tɕiəɯ1	
雞	tɕi1	
鳴	min1	
鷗	ŋəɯ1	
鴉	ia1	
鴨	ŋɛʔ7	
鴛	ʯɛ̃1	
鴕	tʰo2	
鴿	kɪʔ7	
鴻	nəɯ2	
鴻	xuən2	
鵝	ŋo2	
鵲	tɕʰioʔ7	
鵬	pʰən2	
鶴	xoʔ7	
鸚	in1	
鷺	nəɯ5	
鷹	in1	
鹿	nəʔ7	
麟	tsʰɔ3	
麥	mɪʔ7	
麻	ma2	
黃	xuɑ̃2	
黍	ʂʯ3	
黎	ni2	
黑	xəʔ7	
默	mɪʔ7	
鼎	tin3	
鼓	fu1	
鼓	ku3	
鼠	tʂʰʯ3	白
鼠	ʂʯ3	文
鼻	piəʔ8	
鼾	xɛ̃1	
齁	xəɯ1	
齊	tɕʰi2	
齒	tsʰɿ3	
齡	nin2	
龍	nən2	
龜	kuei1	
