#漢字	音標	解釋
□	tʂʰʅ1	看
□	li1	不停地动
□	mɑ1	取
□	ŋɑ1	～壳子:吹牛
□	ŋɑ1	指～壳儿:指甲
□	ŋɑ1	～嘴:张开嘴
□	ȵiɑ1	～壳蛋:爱撒娇的人
□	tso1	～额头:前额突出
□	so1	吮吸
□	te1	～□l:陀螺
□	tse1	嘴儿一～倒:嘴巴翘着
□	tʂʯe1	～子:手残之人
□	pʰau1	呵～:吹牛
□	təu1	～汤:舀汤
□	tɕiəu1	～衣裳:拧干衣服
□	ʂan1	装腔作势的样子
□	len1	扒拉:把叶子～下来
□	ɕin1	～菜:种菜
□	lɑŋ1	放在锅里快速的炒一下
□	tɕʰiɑŋ1	晒谷用的农具
□	poŋ1	趴着，停留
□	pʰu2	
□	pʰu2	打～□tɕhiəu21:狗趴式游泳姿势
□	pʰiɑ2	大～～儿的:形容自以为是
□	ɕie2	～子:用竹子做成的席子或竹围子
□	tʂʰʯei2	骂
□	ʂau2	大～:傻子
□	pʰan2	玩弄
□	tʂʰʅ3	跌倒:尔过细点，莫～啰(你小心点，不要跌倒了)
□	tʂɑ3	～水子:形容打不湿拧不干
□	tʂʰɑ3	
□	iɑ3	～的:奇怪的
□	ke3	～□lo45□tɕhi25:埋怨人瞎说
□	pʰie3	～断:掰成两半
□	ʯe3	敞开:衣裳一～倒(衣服敞开着)
□	tiau3	生气，不理人
□	tʰiau3	～个场儿:换个位置
□	tʂəu3	～进去:往包或箱子里塞
□	tʰen3	颠簸
□	tʂʰen3	～着儿:经常
□	pʰɑŋ3	～下子:挨一下
□	tʂʅ5	椅子～儿:椅子靠背
□	tɑ5	～一下:扯
□	ʂo5	不中、差
□	ke5	～肉:割肉
□	kʰe5	～人:勒人
□	ʯe5	叫
□	tɕʰiau5	生气
□	tan5	～人:骂人
□	kan5	～一下儿:隔一会儿
□	xan5	～火:烤火
□	pen5	乱动，没有规矩
□	men5	～气子:蛮横不讲理的人
□	tsen5	用劲
□	tɕʰin5	～水:泉水
□	in5	～水:浇水
□	ŋɑŋ5	叫
□	iɑŋ5	累
□	tsoŋ5	皱
□	tsʰɿ6	～手:擦手
□	tsʰɑ6	～雨:淋雨
□	kʰɑ6	挤进去
□	io6	称呼母亲
□	tʰie6	～于:特意;故意
□	ʯe6	～呱:脏
□	sai6	漏
□	sai6	像人～啰:逞能
□	ŋai6	拖延时间
□	mau6	否定词
□	ɕiəu6	瘊子
□	tsan6	动词，将石头等物扔出去
□	tʂan6	合作
□	mian6	～路:铺路
□	ian6	地名
□	tsen6	掷、投
□	tʂen6	～鱼儿:在水中打捞鱼
□	kʰɑŋ6	～桥儿:把桥架起来
□	poŋ6	灰～了的:灰尘弥漫的样子
□	tʰoŋ6	踩
□	tɑ7	摔倒
□	tsʰɑ7	～母子:蟑螂
□	pʰiɑ7	～一耳巴子:打一耳光
□	tʂʰe7	～霍:闪电
□	uai7	～儿:玩具
□	tʰau7	堂屋
□	kʰəu7	聪明
一	i7	
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	tʂɑŋ6	～人:背称岳父
三	san1	
上	ʂɑŋ6	～山:到山上去，也指送葬
下	xɑ6-	～去
下	ɕiɑ6=	～降;～饭菜
不	pu7	
丑	tʂʰəu3	
專	tʂʯan1	
世	ʂʅ5	
業	ȵie7	家～:家产或家具
叢	tsʰoŋ2	树～
東	toŋ1	
絲	sɿ1	
丟	tiəu1	扔;落
兩	liɑŋ3	
嚴	ȵian1	
喪	sɑŋ2	～事
喪	sɑŋ5	～气
个	ko5	
中	tʂoŋ1	当～
中	tʂoŋ5	～风
丰	foŋ1	
串	tʂʰʯan5	
丸	uan2	～药
丹	tan1	
舉	tʂʯ2	
乃	lai3	
久	tɕiəu3	
義	ȵi6	～气
樂	lo7	
樂	io7	音～
喬	tɕʰiau2	
乖	kuai1	
乘	ʂen5	量词
九	tɕiəu3	
也	ie3	
習	ɕi6	学～
習	ɕi7	～操:练操
鄉	ɕiɑŋ1	
書	ʂʯ1	
買	mai3	
亂	lan6	
了	liau3	～结
爭	tsen1	
事	sɿ6	
二	ɚ6	
虧	kʰuei1	
雲	ʯen2	
五	u3	
井	tɕin3	
些	ɕie1	好～:好多
些	ɕie6	箇～:那些
交	tɕiau1	
產	tsʰan3	
畝	mau3	
亭	tʰin2	
亮	liɑŋ6	
親	tɕʰin1	相～
人	ʐen2	
億	i5	
仇	tʂʰəu2	
今	tʂen1	～朝日:今天
介	kai5	
从	tsʰoŋ2	
倉	tsʰɑŋ1	
他	tʰɑ1	
仙	ɕian1	
令	lin6	
以	i3	
儀	ȵi2	
仰	ȵiɑŋ3	
件	tɕian6	
價	tɕiɑ5	
任	ʯen6	
份	fen6	
伊	i6	称呼母亲
伍	u3	
伏	fu2	三～天
伏	pu6	
伐	fɑ6	
休	ɕiəu1	
衆	tʂoŋ5	
優	iəu1	
伙	xo2	弟兄～的:弟兄们
伙	xo3	搅～:合伙
會	kʰuai5	～计
會	xuei6	开～
傘	san3	
傳	tʂʰʯan2	
傳	tʂʯan6	～记
伢	ŋɑ2	细～儿:小孩子
傷	ʂɑŋ1	
伯	pe7	称呼父亲
伴	pan6	
伸	tʂʰen1	～手
伸	ʂen1	～直
佃	tian6	
位	uei6	
低	ti1	
住	tʂʯ6	
佐	tso3	
佑	iəu6	
體	tʰi3	
余	ʯ2	
佛	fu7	
作	tso7	农～物
佣	ioŋ6	～
使	sɿ2	
侄	tʂʅ6	～儿
侍	sɿ6	
供	koŋ1	
供	koŋ5	～祖人:供奉祖先
依	i1	
俠	ɕiɑ2	
側	tsʰe7	～边儿
便	pian6	方～
促	tsʰəu7	
俊	tɕin5	～俏
俏	tɕʰiau5	
俗	səu6	
保	pau3	
信	ɕin5	
儉	tɕian6	
修	ɕiəu1	
倍	pi6	
倒	tau3	颠～
倒	tau5	～水
倔	tʂʯe7	～犟
借	tɕie5	
借	tɕʰie5	～口
倦	tʂʯan6	
債	tsai5	
