單字	聲紐	呼	等	韻部	聲調	組	攝	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定	備註
阿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A			a	1		ʔ	a	23		ʔ	ᴀ	23	阿文
啊	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A			a	1		ʔ	a	23		ʔ	ᴀ	23	
唉	影	開	一	咍	平	影	蟹			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
欸	影	開	一	咍	上	影	蟹			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
哎	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
霸	幫	開	二	麻	去	幫	假		b	a	1		p	a	23		p	ᴀ	23	
壩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	1		p	a	23		p	ᴀ	23	
峇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	1		p	a	23		p	ᴀ	23	
伯									b	a	1		p	a	23		p	ᴀ	23	春秋五伯
巴	幫	開	二	麻	平	幫	假		b	a	3		p	a	45		p	ᴀ	45	
芭	幫	開	二	麻	平	幫	假		b	a	3		p	a	45		p	ᴀ	45	
笆	幫	開	二	麻	平	幫	假		b	a	3		p	a	45		p	ᴀ	45	
靶	幫	開	二	麻	去	幫	假		b	a	3		p	a	45		p	ᴀ	45	
把	幫	開	二	麻	上	幫	假		b	a	3		p	a	45		p	ᴀ	45	
疤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	3		p	a	45		p	ᴀ	45	
粑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	3		p	a	45		p	ᴀ	45	
爸	並	開	一	歌	上	幫	果		b	a	2		p	a	21		p	ᴀ	21	
罷	並	開	三	支B	平	幫	止		b	a	4		p	a	32		p	ᴀ	32	
罢	並	開	三	支B	平	幫	止		b	a	4		p	a	32		p	ᴀ	32	
吧	滂	開	二	麻	平	幫	假		b	a	4		p	a	32		p	ᴀ	32	
拜	幫	開	二	皆	去	幫	蟹		b	ai	1		p	ai	23		p	ᴀj	23	
湃	滂	開	二	皆	去	幫	蟹		b	ai	1		p	ai	23		p	ᴀj	23	
襬	幫	開	三	支B	平	幫	止		b	ai	3		p	ai	45		p	ᴀj	45	
擺	幫	開	二	佳	上	幫	蟹		b	ai	3		p	ai	45		p	ᴀj	45	
摆	幫	開	二	佳	上	幫	蟹		b	ai	3		p	ai	45		p	ᴀj	45	
敗	並	開	二	夬	去	幫	蟹		b	ai	4		p	ai	32		p	ᴀj	32	
败	並	開	二	夬	去	幫	蟹		b	ai	4		p	ai	32		p	ᴀj	32	
頒	並	合	三	文	平	幫	臻		b	an	1		p	an	23		p	ᴀn	23	
班	幫	開	二	刪	平	幫	山		b	an	1		p	an	23		p	ᴀn	23	
斑	幫	開	二	刪	平	幫	山		b	an	1		p	an	23		p	ᴀn	23	
阪	幫	合	三	元	上	幫	山		b	an	3		p	an	45		p	ᴀn	45	
板	幫	開	二	刪	上	幫	山		b	an	3		p	an	45		p	ᴀn	45	
版	幫	開	二	刪	上	幫	山		b	an	3		p	an	45		p	ᴀn	45	
粄	幫	開	一	寒	上	幫	山		b	an	3		p	an	45		p	ᴀn	45	
闆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	an	3		p	an	45		p	ᴀn	45	
扮	幫	合	三	文	平	幫	臻		b	an	4		p	an	32		p	ᴀn	32	
辦	並	開	二	山	去	幫	山		b	an	4		p	an	32		p	ᴀn	32	
褒	幫	開	一	豪	平	幫	效		b	au	1		p	au	23		p	ᴀw	23	
報	幫	開	一	豪	去	幫	效		b	au	1		p	au	23		p	ᴀw	23	
煲	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	au	1		p	au	23		p	ᴀw	23	
保	幫	開	一	豪	上	幫	效		b	au	3		p	au	45		p	ᴀw	45	
葆	幫	開	一	豪	上	幫	效		b	au	3		p	au	45		p	ᴀw	45	
堡	幫	開	一	豪	上	幫	效		b	au	3		p	au	45		p	ᴀw	45	
褓	幫	開	一	豪	上	幫	效		b	au	3		p	au	45		p	ᴀw	45	
寶	幫	開	一	豪	上	幫	效		b	au	3		p	au	45		p	ᴀw	45	
暴	並	開	一	豪	去	幫	效		b	au	4		p	au	32		p	ᴀw	32	凶暴
伯	幫	開	二	庚	入	幫	梗		b	aek	8		p	ɐk	32		p	ɐk	32	
白	並	開	二	庚	入	幫	梗		b	aek	8		p	ɐk	32		p	ɐk	32	
帛	並	開	二	庚	入	幫	梗		b	aek	8		p	ɐk	32		p	ɐk	32	
蔔	並	開	一	登	入	幫	曾		b	aek	8		p	ɐk	32		p	ɐk	32	
卜	並	開	一	登	入	幫	曾		b	aek	8		p	ɐk	32		p	ɐk	32	萝卜
伯	幫	開	三	辛	入	幫	梗		b	aek	9		p	ɐk	21		p	ɐk	21	阿伯
北	幫	開	一	登	入	幫	曾		b	aek	6		p	ɐk	45		p	ɐk	45	
百	幫	開	一	己	入	幫	梗		b	aek	6		p	ɐk	45		p	ɐk	45	百厭
百	幫	開	二	庚	入	幫	梗		b	aek	7		p	ɐk	23		p	ɐk	23	一百
伯	幫	開	二	庚	入	幫	梗		b	aek	7		p	ɐk	23		p	ɐk	23	伯爺
乓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	aem	1		p	ɐm	23		p	ɐm	23	
賓	幫	開	三	真A	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
濱	幫	開	三	真A	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
檳	幫	開	三	真A	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
鬢	幫	開	三	真A	去	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
臏	並	開	三	真A	上	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
繽	滂	開	三	真A	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
彬	幫	開	三	真B	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
奔	幫	合	一	魂	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
稟	幫	開	三	侵B	上	幫	深		b	aen	3		p	ɐn	45		p	ɐn	45	
品	滂	開	三	侵B	上	幫	深		b	aen	3		p	ɐn	45		p	ɐn	45	
鬢	幫	開	四	真A	去	幫	臻		b	aen	4		p	ɐn	32		p	ɐn	32	
笨	幫	合	一	魂	上	幫	臻		b	aen	4		p	ɐn	32		p	ɐn	32	
繃	幫	開	二	耕	平	幫	梗		b	aeng	1		p	ɐŋ	23		p	ɐŋ	23	繃帶
崩	幫	開	一	登	平	幫	曾		b	aeng	1		p	ɐŋ	23		p	ɐŋ	23	
蹦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	aeng	3		p	ɐŋ	45		p	ɐŋ	45	
拔	並	合	三	元	入	幫	山		b	aet	8		p	ɐt	32		p	ɐt	32	
跋	並	開	一	寒	入	幫	山		b	aet	8		p	ɐt	32		p	ɐt	32	
畢	幫	開	三	真A	入	幫	臻		b	aet	6		p	ɐt	45		p	ɐt	45	
筆	幫	開	三	真B	入	幫	臻		b	aet	6		p	ɐt	45		p	ɐt	45	
不	幫	合	三	尤	平	幫	流		b	aet	6		p	ɐt	45		p	ɐt	45	
嗶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	aet	6		p	ɐt	45		p	ɐt	45	
閉	幫	開	四	齊	去	幫	蟹		b	ei	1		p	ei	23		p	ei	23	
陛	並	開	四	齊	上	幫	蟹		b	ei	1		p	ei	23		p	ei	23	
蔽	幫	開	三	祭A	去	幫	蟹		b	ei	1		p	ei	23		p	ei	23	
卑	幫	開	三	支A	平	幫	止		b	ei	1		p	ei	23		p	ei	23	
臂	幫	開	三	支A	去	幫	止		b	ei	1		p	ei	23		p	ei	23	
碑	幫	開	三	支B	平	幫	止		b	ei	1		p	ei	23		p	ei	23	
庇	幫	開	三	脂A	去	幫	止		b	ei	1		p	ei	23		p	ei	23	比較
悲	幫	開	三	脂B	平	幫	止		b	ei	1		p	ei	23		p	ei	23	
泌	幫	開	三	脂B	去	幫	止		b	ei	1		p	ei	23		p	ei	23	
祕	幫	開	三	脂B	去	幫	止		b	ei	1		p	ei	23		p	ei	23	
痺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ei	1		p	ei	23		p	ei	23	
秘	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ei	1		p	ei	23		p	ei	23	
跛									b	ei	3		p	ei	45		p	ei	45	
彼	幫	開	三	支B	上	幫	止		b	ei	3		p	ei	45		p	ei	45	
比	幫	開	三	脂A	上	幫	止		b	ei	3		p	ei	45		p	ei	45	被動
妣	幫	開	三	脂A	上	幫	止		b	ei	3		p	ei	45		p	ei	45	
畀									b	ei	3		p	ei	45		p	ei	45	
陂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ei	2		p	ei	21		p	ei	21	
敝	並	開	三	祭A	去	幫	蟹		b	ei	4		p	ei	32		p	ei	32	
弊	並	開	三	祭A	去	幫	蟹		b	ei	4		p	ei	32		p	ei	32	
幣	並	開	三	祭A	去	幫	蟹		b	ei	4		p	ei	32		p	ei	32	
斃	並	開	三	祭A	去	幫	蟹		b	ei	4		p	ei	32		p	ei	32	跛腳
避	並	開	三	支A	去	幫	止		b	ei	4		p	ei	32		p	ei	32	
被	並	開	三	支B	去	幫	止		b	ei	4		p	ei	32		p	ei	32	
鼻	並	開	三	脂A	去	幫	止		b	ei	4		p	ei	32		p	ei	32	
備	並	開	三	脂B	去	幫	止		b	ei	4		p	ei	32		p	ei	32	
憊	並	開	二	皆	去	幫	蟹		b	ei	4		p	ei	32		p	ei	32	
柄	幫	開	三	庚	去	幫	梗		b	eng	1		p	ɛŋ	23		p	ɛŋ	23	
餅	幫	開	三	清A	上	幫	梗		b	eng	3		p	ɛŋ	45		p	ɛŋ	45	
病	並	開	三	庚	去	幫	梗		b	eng	4		p	ɛŋ	32		p	ɛŋ	32	
啤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ia	1		p	ia	23		p	ɪᴀ	23	
壁	幫	開	四	青	入	幫	梗		b	ik	7		p	ɪk	23		p	eɪk	23	
璧	幫	開	三	清A	入	幫	梗		b	ik	7		p	ɪk	23		p	eɪk	23	
碧	幫	開	三	清B	入	幫	梗		b	ik	7		p	ɪk	23		p	eɪk	23	
逼	幫	開	三	蒸	入	幫	曾		b	ik	7		p	ɪk	23		p	eɪk	23	
迫	幫	開	二	庚	入	幫	梗		b	ik	7		p	ɪk	23		p	eɪk	23	
邊	幫	開	四	先	平	幫	山		b	in	1		p	in	23		p	in	23	
辮	並	開	四	先	上	幫	山		b	in	1		p	in	23		p	in	23	
鞭	幫	開	三	仙A	平	幫	山		b	in	1		p	in	23		p	in	23	
變	幫	開	三	仙B	去	幫	山		b	in	1		p	in	23		p	in	23	
扁	幫	開	四	先	上	幫	山		b	in	3		p	in	45		p	in	45	扁平
匾	幫	開	四	先	上	幫	山		b	in	3		p	in	45		p	in	45	
貶	幫	開	三	鹽B	上	幫	咸		b	in	3		p	in	45		p	in	45	
邊	幫	開	三	先	平	幫	山		b	in	2		p	in	22		p	in	22	邊址
便	並	開	三	仙A	去	幫	山		b	in	4		p	in	32		p	in	32	便利
汴	並	開	三	仙B	去	幫	山		b	in	4		p	in	32		p	in	32	
辨	並	開	三	仙B	上	幫	山		b	in	4		p	in	32		p	in	32	
辯	並	開	三	仙B	上	幫	山		b	in	4		p	in	32		p	in	32	
兵	幫	開	三	庚	平	幫	梗		b	ing	1		p	ɪŋ	23		p	eɪŋ	23	
冰	幫	開	三	蒸	平	幫	曾		b	ing	1		p	ɪŋ	23		p	eɪŋ	23	
乒	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ing	1		p	ɪŋ	23		p	eɪŋ	23	
柄	幫	開	三	庚	去	幫	梗		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	
丙	幫	開	三	庚	上	幫	梗		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	
秉	幫	開	三	庚	上	幫	梗		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	
炳	幫	開	三	庚	上	幫	梗		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	
摒	幫	開	三	清A	去	幫	梗		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	
屏	幫	開	三	清A	上	幫	梗		b	ing	3		p	ɪŋ	45		p	eɪŋ	45	屏除
並	並	開	四	青	上	幫	梗		b	ing	4		p	ɪŋ	32		p	eɪŋ	32	
并	幫	開	三	清A	平	幫	梗		b	ing	4		p	ɪŋ	32		p	eɪŋ	32	
迸	幫	開	二	耕	去	幫	梗		b	ing	4		p	ɪŋ	32		p	eɪŋ	32	
癟	並	開	四	先	入	幫	山		b	it	8		p	it	32		p	it	32	
別	並	開	三	仙B	入	幫	山		b	it	8		p	it	32		p	it	32	
八	幫	開	二	山	入	幫	山		b	it	6		p	it	45		p	it	45	八卦
必	幫	開	三	真A	入	幫	臻		b	it	6		p	it	45		p	it	45	
八	幫	開	二	山	入	幫	山		b	it	7		p	it	23		p	it	23	數字八
捌	幫	開	二	山	入	幫	山		b	it	7		p	it	23		p	it	23	
叭	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	it	7		p	it	23		p	it	23	
彆	幫	開	三	祭A	去	幫	蟹		b	it	7		p	it	23		p	it	23	
包	幫	開	二	肴	平	幫	效		b	iu	1		p	iu	23		p	iw	23	
苞	幫	開	二	肴	平	幫	效		b	iu	1		p	iu	23		p	iw	23	
胞	幫	開	二	肴	平	幫	效		b	iu	1		p	iu	23		p	iw	23	
爆	幫	開	二	肴	去	幫	效		b	iu	1		p	iu	23		p	iw	23	
孢	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	iu	1		p	iu	23		p	iw	23	
標	幫	開	三	宵A	平	幫	效		b	iu	1		p	iu	23		p	iw	23	
飆	幫	開	三	宵A	平	幫	效		b	iu	1		p	iu	23		p	iw	23	
鑣	幫	開	三	宵B	平	幫	效		b	iu	1		p	iu	23		p	iw	23	
彪	幫	開	三	幽	平	幫	流		b	iu	1		p	iu	23		p	iw	23	
錶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	iu	1		p	iu	23		p	iw	23	
飽	幫	開	二	肴	上	幫	效		b	iu	3		p	iu	45		p	iw	45	
鮑	並	開	二	肴	上	幫	效		b	iu	3		p	iu	45		p	iw	45	鮑魚
表	幫	開	三	宵B	上	幫	效		b	iu	3		p	iu	45		p	iw	45	
錶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	iu	3		p	iu	45		p	iw	45	
鮑	並	開	二	肴	上	幫	效		b	iu	4		p	iu	32		p	iw	32	鮑魚之肆
布	幫	開	一	模	去	幫	遇		b	ou	1		p	ou	23		p	ou	23	
佈	幫	開	一	模	去	幫	遇		b	ou	1		p	ou	23		p	ou	23	
怖	滂	開	一	模	去	幫	遇		b	ou	1		p	ou	23		p	ou	23	
埔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ou	1		p	ou	23		p	ou	23	
補	幫	開	一	模	上	幫	遇		b	ou	3		p	ou	45		p	ou	45	
捕	並	開	一	模	去	幫	遇		b	ou	4		p	ou	32		p	ou	32	
哺	並	開	一	模	去	幫	遇		b	ou	4		p	ou	32		p	ou	32	
步	並	開	一	模	去	幫	遇		b	ou	4		p	ou	32		p	ou	32	
部	並	開	一	模	上	幫	遇		b	ou	4		p	ou	32		p	ou	32	
簿	並	開	一	模	上	幫	遇		b	ou	4		p	ou	32		p	ou	32	
埠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ou	4		p	ou	32		p	ou	32	埠頭
波	幫	開	一	歌	平	幫	果		b	u	1		p	u	23		p	u	23	
播	幫	開	一	歌	去	幫	果		b	u	1		p	u	23		p	u	23	
簸	幫	開	一	歌	上	幫	果		b	u	1		p	u	23		p	u	23	
玻	滂	開	一	歌	平	幫	果		b	u	1		p	u	23		p	u	23	
坡	滂	開	一	歌	平	幫	果		b	u	1		p	u	23		p	u	23	
菠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	u	1		p	u	23		p	u	23	
菠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	u	3		p	u	45		p	u	45	
貝	幫	開	一	泰	去	幫	蟹		b	ui	1		p	ui	23		p	uj	23	
狽	幫	開	一	泰	去	幫	蟹		b	ui	1		p	ui	23		p	uj	23	
杯	幫	合	一	灰	平	幫	蟹		b	ui	1		p	ui	23		p	uj	23	
盃	幫	合	一	灰	平	幫	蟹		b	ui	1		p	ui	23		p	uj	23	
背	幫	合	一	灰	去	幫	蟹		b	ui	1		p	ui	23		p	uj	23	背後
輩	幫	合	一	灰	去	幫	蟹		b	ui	1		p	ui	23		p	uj	23	
悖	並	合	一	灰	去	幫	蟹		b	ui	1		p	ui	23		p	uj	23	
背	並	合	一	灰	去	幫	蟹		b	ui	4		p	ui	32		p	uj	32	背書
悖	並	合	一	灰	去	幫	蟹		b	ui	4		p	ui	32		p	uj	32	
焙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ui	4		p	ui	32		p	uj	32	
蹼	幫	開	一	東	入	幫	通		b	uk	8		p	ʊk	32		p	oʊk	32	
暴	並	開	一	東	入	幫	通		b	uk	8		p	ʊk	32		p	oʊk	32	一暴十寒
僕	並	開	一	東	入	幫	通		b	uk	8		p	ʊk	32		p	oʊk	32	
瀑	並	開	一	豪	去	幫	效		b	uk	8		p	ʊk	32		p	oʊk	32	
曝	並	開	一	豪	去	幫	效		b	uk	8		p	ʊk	32		p	oʊk	32	
仆									b	uk	8		p	ʊk	32		p	oʊk	32	
卜	幫	開	一	東	入	幫	通		b	uk	6		p	ʊk	45		p	oʊk	45	
般	幫	開	一	寒	平	幫	山		b	un	1		p	un	23		p	un	23	
半	幫	開	一	寒	去	幫	山		b	un	1		p	un	23		p	un	23	
搬	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	un	1		p	un	23		p	un	23	
本	幫	合	一	魂	上	幫	臻		b	un	3		p	un	45		p	un	45	
畚	幫	合	一	魂	上	幫	臻		b	un	3		p	un	45		p	un	45	
絆	幫	開	一	寒	去	幫	山		b	un	4		p	un	32		p	un	32	
叛	並	開	一	寒	去	幫	山		b	un	4		p	un	32		p	un	32	
畔	並	開	一	寒	去	幫	山		b	un	4		p	un	32		p	un	32	
伴	並	開	一	寒	上	幫	山		b	un	4		p	un	32		p	un	32	
拌	滂	開	一	寒	平	幫	山		b	un	4		p	un	32		p	un	32	
胖	滂	開	一	寒	去	幫	山		b	un	4		p	un	32		p	un	32	肥胖
肨									b	un	4		p	un	32		p	un	32	
撥	幫	開	一	寒	入	幫	山		b	ut	8		p	ut	32		p	ut	32	
勃	並	合	一	魂	入	幫	臻		b	ut	8		p	ut	32		p	ut	32	
脖	並	合	一	魂	入	幫	臻		b	ut	8		p	ut	32		p	ut	32	
渤	並	合	一	魂	入	幫	臻		b	ut	8		p	ut	32		p	ut	32	
缽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ut	8		p	ut	32		p	ut	32	
砵									b	ut	8		p	ut	32		p	ut	32	
鉢									b	ut	8		p	ut	32		p	ut	32	
缽									b	ut	8		p	ut	32		p	ut	32	
雹	並	開	二	江	入	幫	江		b	uuk	8		p	uk	32		p	uk	32	
薄	並	開	一	唐	入	幫	宕		b	uuk	8		p	uk	32		p	uk	32	
箔	並	開	一	唐	入	幫	宕		b	uuk	8		p	uk	32		p	uk	32	
礴	並	開	一	唐	入	幫	宕		b	uuk	8		p	uk	32		p	uk	32	
泊	並	開	一	唐	入	幫	宕		b	uuk	8		p	uk	32		p	uk	32	
魄									b	uuk	8		p	uk	32		p	uk	32	旁魄
博	幫	開	二	唐	入	幫	宕		b	uuk	6		p	uk	45		p	uk	45	
卜	幫	開	一	東	入	幫	通		b	uuk	6		p	uk	45		p	uk	45	
搏	幫	合	三	虞	去	幫	遇		b	uuk	7		p	uk	23		p	uk	23	
駁	幫	開	二	江	入	幫	江		b	uuk	7		p	uk	23		p	uk	23	
博	幫	開	一	唐	入	幫	宕		b	uuk	7		p	uk	23		p	uk	23	
膊	滂	開	一	唐	入	幫	宕		b	uuk	7		p	uk	23		p	uk	23	
縛	並	開	一	歌	去	幫	果		b	uuk	7		p	uk	23		p	uk	23	
邦	幫	開	二	江	平	幫	江		b	uung	1		p	uŋ	23		p	uŋ	23	
幫	幫	開	一	唐	平	幫	宕		b	uung	1		p	uŋ	23		p	uŋ	23	
榜	並	開	二	庚	平	幫	梗		b	uung	3		p	uŋ	45		p	uŋ	45	
綁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	uung	3		p	uŋ	45		p	uŋ	45	
膀									b	uung	3		p	uŋ	45		p	uŋ	45	肩膀
傍	並	開	二	唐	平	幫	宕		b	uung	4		p	uŋ	32		p	uŋ	32	依山傍水
傍	並	開	一	唐	去	幫	宕		b	uung	4		p	uŋ	32		p	uŋ	32	傍晚
磅									b	uung	4		p	uŋ	32		p	uŋ	32	一磅
詫	徹	開	二	麻	去	知	假		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
奼	徹	開	二	麻	上	知	假		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
差	初	開	二	麻	平	莊	假		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	差別
叉	初	開	二	佳	平	莊	蟹		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
岔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
茶	澄	開	二	麻	平	知	假		c	a	2		ʦʰ	a	22		ʦʰ	ᴀ	22	
查	崇	開	二	麻	平	莊	假		c	a	2		ʦʰ	a	22		ʦʰ	ᴀ	22	檢查
槎	崇	開	二	麻	平	莊	假		c	a	2		ʦʰ	a	22		ʦʰ	ᴀ	22	
差	初	開	二	佳	平	莊	蟹		c	ai	1		ʦʰ	ai	23		ʦʰ	ᴀj	23	出差
猜	清	開	一	咍	平	精	蟹		c	ai	3		ʦʰ	ai	45		ʦʰ	ᴀj	45	
踩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		c	ai	3		ʦʰ	ai	45		ʦʰ	ᴀj	45	
柴	崇	開	二	佳	平	莊	蟹		c	ai	2		ʦʰ	ai	22		ʦʰ	ᴀj	22	
參	清	開	一	覃	平	精	咸		c	am	1		ʦʰ	am	23		ʦʰ	ᴀm	23	
攙	崇	開	二	咸	平	莊	咸		c	am	1		ʦʰ	am	23		ʦʰ	ᴀm	23	參加
摻	生	開	二	咸	平	莊	咸		c	am	1		ʦʰ	am	23		ʦʰ	ᴀm	23	
杉	生	開	二	咸	平	莊	咸		c	am	1		ʦʰ	am	23		ʦʰ	ᴀm	23	
慘	清	開	一	覃	上	精	咸		c	am	3		ʦʰ	am	45		ʦʰ	ᴀm	45	
饞	崇	開	二	咸	平	莊	咸		c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
蠶	從	開	一	覃	平	精	咸		c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
慚	從	開	一	談	平	精	咸		c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
巉									c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
餐	清	開	一	寒	平	精	山		c	an	1		ʦʰ	an	23		ʦʰ	ᴀn	23	
璨	清	開	一	寒	去	精	山		c	an	1		ʦʰ	an	23		ʦʰ	ᴀn	23	
燦	清	開	一	寒	去	精	山		c	an	1		ʦʰ	an	23		ʦʰ	ᴀn	23	
鏟	初	開	二	山	上	莊	山		c	an	3		ʦʰ	an	45		ʦʰ	ᴀn	45	
產	生	開	二	山	上	莊	山		c	an	3		ʦʰ	an	45		ʦʰ	ᴀn	45	
剷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		c	an	3		ʦʰ	an	45		ʦʰ	ᴀn	45	
殘	從	開	一	寒	平	精	山		c	an	2		ʦʰ	an	22		ʦʰ	ᴀn	22	
傳	澄	合	四	仙B	平	知	山		c	an	2		ʦʰ	an	22		ʦʰ	ᴀn	22	
插	初	開	二	咸	入	莊	咸		c	ap	7		ʦʰ	ap	23		ʦʰ	ᴀp	23	
刷	生	合	二	刪	入	莊	山		c	at	9		ʦʰ	at	21		ʦʰ	ᴀt	21	
察	初	開	二	山	入	莊	山		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
刷	生	合	二	刪	入	莊	山		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
獺	透	開	一	寒	入	端	山		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
擦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
抄	初	開	二	肴	平	莊	效		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
躁	精	開	一	豪	去	精	效		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
澡	精	開	一	豪	上	精	效		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
操	清	開	一	豪	平	精	效		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
糙	清	開	一	豪	去	精	效		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
噪	心	開	一	豪	去	精	效		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
燥	心	開	一	豪	上	精	效		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
吵	明	開	三	宵A	上	幫	效		c	au	3		ʦʰ	au	45		ʦʰ	ᴀw	45	
抄	初	開	三	肴	平	莊	效		c	au	3		ʦʰ	au	45		ʦʰ	ᴀw	45	
鈔	初	開	二	肴	平	莊	效		c	au	3		ʦʰ	au	45		ʦʰ	ᴀw	45	
炒	初	開	二	肴	上	莊	效		c	au	3		ʦʰ	au	45		ʦʰ	ᴀw	45	
草	清	開	一	豪	上	精	效		c	au	3		ʦʰ	au	45		ʦʰ	ᴀw	45	
巢	崇	開	二	肴	平	莊	效		c	au	2		ʦʰ	au	22		ʦʰ	ᴀw	22	
槽	精	開	一	豪	平	精	效		c	au	2		ʦʰ	au	22		ʦʰ	ᴀw	22	
曹	從	開	一	豪	平	精	效		c	au	2		ʦʰ	au	22		ʦʰ	ᴀw	22	
嘈	從	開	一	豪	平	精	效		c	au	2		ʦʰ	au	22		ʦʰ	ᴀw	22	
賊	從	開	一	登	入	精	曾		c	aek	9		ʦʰ	ɐk	21		ʦʰ	ɐk	21	
吒									c	aek	6		ʦʰ	ɐk	45		ʦʰ	ɐk	45	叱吒
柵	初	開	三	庚	入	莊	梗		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	木柵
測	初	開	三	蒸	入	莊	曾		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
惻	初	開	三	蒸	入	莊	曾		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
坼	徹	開	二	庚	入	知	梗		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
冊	初	開	二	耕	入	莊	梗		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
