音标	调类	调值	汉字
	5	312	钻攥传转赚
tshuã	1	114	蹿川穿
	2	42	传船
	3	55	喘
	5	312	窜篡串
suã	1	114	酸闩拴栓
	5	312	蒜算涮
tuã	1	114	端
	3	55	短
	5	312	段断缎锻□（追赶）
thuã	2	42	团抟
nuã	3	55	暖（新）
luã	2	42	峦□（复收）栾
	3	55	卵
	5	312	乱
ʒuã	3	55	软阮
kuã	1	114	关观官冠棺
	3	55	馆管
	5	312	贯冠惯灌罐
khuã	1	114	宽
	3	55	款
xuã	1	114	欢
	2	42	环还痪（老）完（在“全完”中读轻声）
	3	55	缓
	5	312	换唤幻
tsuẽ	1	114	遵尊
	3	55	准
tshuẽ	1	114	村春椿
	2	42	存（新）纯唇
	3	55	蠢
	5	312	⼨顺（在“孝顺”中读轻声）褪（在“倒褪”中读轻声）
suẽ	1	114	孙
	3	55	损（新）笋（文）吮
	5	312	顺舜瞬
tuẽ	1	114	吨墩蹲
	3	55	盹懂（白）準（不~：不一定）
	5	312	炖囤盾钝顿饨（在"馄饨"中读轻声）□（~不：表猜测）
thuẽ	1	114	吞
	2	42	豚屯臀
luẽ	1	114	抡
	2	42	伦轮
	5	312	论嫩
ʒuẽ	5	312	闰（文）润（文）
kuẽ	3	55	滚
	5	312	棍
xuẽ	1	114	昏荤婚
	2	42	浑馄混魂
tsuɑŋ	1	114	装妆庄
	5	312	壮状撞
tshuɑŋ	1	114	疮窗
	2	42	床
	3	55	闯
	5	312	创撞
suɑŋ	1	114	双霜
	3	55	爽
kuɑŋ	1	114	光胱
	3	55	⼴
khuɑŋ	1	114	筐匡诓框
	2	42	狂
	5	312	旷矿框况
xuɑŋ	1	114	慌荒
	2	42	黄蝗凰皇簧□（~子：东西）
	3	55	晃谎幌
	5	312	晃
tsʊŋ	1	114	宗综棕踪中忠终盅钟衷
	3	55	总肿种
	5	312	纵粽（新）中众种重
tshʊŋ	1	114	匆囱葱聪冲充憧
	2	42	从（新）丛虫重崇
	3	55	宠
	5	312	冲
sʊŋ	1	114	松（放~）嵩
	5	312	宋送
tʊŋ	1	114	东冬
	3	55	董懂
	5	312	动冻栋洞
thʊŋ	1	114	通
	2	42	同彤桐铜童
	3	55	统捅桶筒
	5	312	痛
nʊŋ	2	42	浓(新）农(新）脓(新）
lʊŋ	2	42	龙隆笼茸（老）荣（老）茏绒（老）容（老）融（老）聋
	3	55	笼拢垄蛹
ʒʊŋ	2	42	戎（新）容(新)茸(新)绒(新)荣(新)融(新)
kʊŋ	1	114	公宫⼯⼸功攻供恭蚣躬
	3	55	巩拱
	5	312	共贡供
khʊŋ	1	114	空
	3	55	孔恐
	5	312	空控
xʊŋ	1	114	轰烘
	2	42	弘红宏鸿虹（新）洪鸿
	3	55	哄
	5	312	哄
ʊŋ	1	114	翁嗡
	5	312	瓮
ly	2	42	驴
	3	55	旅吕缕捋
	5	312	滤虑律绿□（放嘴里舔）
ȵy	3	55	女
tɕy	1	114	菊居拘掬橘焗锔足（老）矩
	2	42	局驹
	3	55	沮莒距举
	5	312	句据聚拒巨锯俱剧具
tɕhy	1	114	区屈曲趋驱蛐蛆
	2	42	渠
	3	55	曲取娶
	5	312	趣祛□（程度词）
ɕy	1	114	墟须虚戌需宿（老）嘘续□（蒸汽烫手）
	2	42	徐俗（老）□（厌烦）
	3	55	许
	5	312	旭畜绪絮序婿蓄
y	1	114	迂淤域溢（~锅）盂愚
	2	42	于榆余鱼娱渔
	3	55	雨语⽻宇与予
	5	312	与⽟芋育狱峪预浴欲遇喻寓裕誉
tɕyə	1	114	脚撅镢觉决诀饺（白）
	2	42	绝崛爵掘嚼
tɕhyə	1	114	缺阙确雀
	2	42	瘸
	3	55	□（折断）
	5	312	却鹊
ɕyə	1	114	削雪靴薛
	2	42	穴学莎（~草）
yə	1	114	约越阅
	5	312	月乐岳粤钥跃（新）越
tɕyã	1	114	捐娟鹃
	3	55	卷
	5	312	圈卷券
tɕhyã	1	114	圈
	2	42	全泉拳蜷醛
	3	55	⽝权
	5	312	劝
ɕyã	1	114	轩宣萱喧
	2	42	⽞悬旋璇弦（老）
	3	55	选癣
yã	1	114	鸳冤
	2	42	圆元媛袁援园缘员源
	3	55	远
	5	312	苑怨院愿
	3	55	菌
tɕyẽ	1	114	军均君
	5	312	俊骏
tɕhyẽ	1	114	皴
	2	42	裙群存（老）
ɕyẽ	1	114	勋熏
	2	42	旬寻巡询循
	3	55	损（白）笋（白）
	5	312	训驯汛迅殉
yẽ	1	114	晕
	2	42	云匀耘
	3	55	允
	5	312	孕运晕韵熨
tɕyʊŋ	5	312	□（起皱）
tɕhyʊŋ	2	42	穷穹琼从（老）
ɕyʊŋ	1	114	凶胸兄松（白）
	2	42	熊雄□（詈语）
yʊŋ	1	114	佣拥
	3	55	咏永泳勇□（推）
	5	312	用
