来源：	高晓慧 2019《山西中阳方言语音研究》；1990《中阳方言志》；Skanda, Hynuza 整理录入																		
说明：																			
#符号说明：-白=文*俗?待考																			
#调值	［1］24［2］33［3］423［5］53［7］33［8］423																		
#ɚ																			
Ø	［2］儿而［3］耳尔饵［5］二贰																		
#ɿ																			
ts	［1］资枝支肢姿咨之芝兹栀［2］吱{拟声词}［3］纸指={~挥}子={~孙}只{~有}紫姊脂旨榟止址趾［5］字自至志痣痔□{称}																		
tsʰ	［1］疵鸱{~怪子，当地一种鸟}跐{用脚或者手支撑柱}呲{~牙}［2］雌祠={晋~}瓷慈磁辞词嗞{拟声词，比如说考场上写的~~的}［3］此侈豉{豆~}齿［5］刺赐翅次伺{~候}□{不~，拟声词，布扯破的声音}渍{衣服~，指脏}																		
s	［1］师丝斯撕施私狮尸司思丝诗燍{饭~气了}□{忽~~的，形容笑}［2］祠-{~堂}钥{~匙}时{又~间}［3］死矢屎使史驶始时{又，年~，去年}［5］四寺是氏肆示视似嗣饲事士仕柿市恃试																		
ʐ	［2］□{拟声词，~~的声音}																		
#i																			
p	［1］屄{女阴}［3］比饼-{~子}彼鄙秕{~谷}滗{用东西把固体挡住把液体倒出来}［5］币被{~子}病-{~的厉害}毙陛{~下}闭篦{~子}庇痹{~端}备壁箅{甑~}																		
pʰ	［1］批纰丕砒{~霜}毗［2］坪平-{~地}皮瓶-{~~}疲［3］脾痞痹{小儿麻~}避-{~雨}［5］屁																		
m	［1］弥{中阳方言单数人称代词的复数形式}［2］篾{簟~~}明-{~得早}名-{~字}迷縻糜{~子}眉猕［3］米［5］明{表示明天}命-{救~}□{悄悄昏~，指偷偷的}																		
t	［1］钉-靪-{～鞋：补鞋底}疔-{～痘：鸡眼}耵-{～耳：耳垢}丁-{补～}［3］顶-｛～针｝底抵抵［5］钉-{钉住}定-{站～}帝蒂弟第递地																		
tʰ	［1］梯听-{~见}停-{~~地，让对方不要动}［2］题蹄堤停-{分的~~的，平分}［3］体躺-{~下}［5］剃替涕屉{抽~}																		
n	［2］泥{稀~}尼宜谊疑倪［3］你拟［5］腻={~歪}泥{~匠}																		
l	［2］梨犁离璃黎零-{~钱}翎{鸡~~}［3］李领-{~口}礼里理鲤［5］例厉励丽荔利吏另-{~开：分开，分家}令-{节~}																		
tɕ	［1］鸡饥肌基机讥稽［2］□{喂鸡时的拟声词}［3］几井-{地名：北大~}挤己［5］寄记季镜-{~子}祭际剂计继髻技妓冀纪忌既净-{干~}																		
tɕʰ	［1］清-{~的}青-{~的}妻欺期晴-{天~了}［2］骑棋齐奇祁其旗脐［3］启企起杞祈［5］契器气砌-{~枕头}弃汽																		
ɕ	［1］西溪希星-{~宿}犀稀［2］邢-{~家塔}肥-{胖}饧{和面时要~一会，面会更加精到}［3］洗喜玺［5］系戏费-{~钱}细婿系{~~，指提起筐子的绳子}																		
Ø	［1］衣赢-{~了}医依［2］移姨蝇-{~子}夷沂胰应-{答~}营-{~生}榆{~树}［3］蚁尾-{~巴}影-{~子}倚椅以已委-{~咐}［5］艺意义缢议易肄异毅亿忆翼																		
#u																			
p	［3］补堡-{地名：吴~}捕［5］布歩抱-{~住}部怖簿=菢{~小鸡}																		
pʰ	［1］铺{动词}［2］蒲{~公英}菩{~萨}脯{胸~}［3］谱普浦［5］铺{店~}堡-{十里~}																		
m	［2］毛-{~~}模{~子，~范}［3］母亩拇某［5］墓慕募牧																		
t	［1］□{圪~，拳头}都{~城}［2］□{拟声词，可形容放屁的声音}［3］堵赌肚{羊~子}［5］杜肚{~子}度渡镀妒																		
tʰ	［2］图徒屠涂途［3］土吐［5］兔□{忽~，拟声词}																		
tʂ	［1］猪珠蛛朱株追-{~撵}锥-{~子}［3］主组阻拄［5］柱住著助箸驻蛀铸坠-缀-{~扣子}																		
tʂʰ	［1］初雏吹{~打}［2］除锄厨锤{~子}槌-{~子}［3］储楚处{相~}杵暑{大~}帚{扫~}［5］处{~所}□{拟声词，哭的~~的}																		
ʂ	［1］输梳疏蔬书舒枢殊［2］谁［3］数{动词}鼠黍署{专~}水-{喝~}［5］税数{名词}竖树恕庶戍睡																		
ʐ	［2］如儒［3］女-{~：女儿}乳汝［5］擩																		
k	［1］箍孤估［2］咕{拟声词，肚子叫的~~的}［3］古股鼓［5］故固雇顾																		
