芭	pa1		
吧	pa1	酒吧	
巴	pa1		
疤	pa1		
爸	pa2	新讀	
爬	pa2	文	
琶	pa2	文	
杷	pa2	文	
把	pa3	文	
飽	pa3	白	
霸	pa5		
壩	pa5		
垻	pa5		
罷	pa5		
𢼌	pa5	～頭殼：擊頭	
百	paʔ7	白	
拋	pʰa1	～荒	
泡	pʰa1	水～	
葩	pʰa1		
泡	pʰa5	紅～～	
拍	pʰaʔ7	白	
麻	ba2	～木	
猫	ba2		
峇	ba2	～～：僑生混血兒	
密	ba5	白，密切；密合	
肉	baʔ7	訓	
覓	baʔ8	白	
焦	ta1	俗，乾	
大	ta1	～家、～官：公公婆婆	
茶	ta2	文	
搭	taʔ7	白	
踏	taʔ8	白	
他	tʰa1		
□	tʰa5	用尖物挑取	
塔	tʰaʔ7		
疊	tʰaʔ8		
沓	tʰaʔ8		
拉	la1		
啦	la1		
垃	la2	～屎	
鐃	la2	～鈸	
□	la5	小曬	
□	laʔ7	阿～：估計	
獵	laʔ8		
納	laʔ8		
臘	laʔ8		
查	tsa1		
渣	tsa1	文	
早	tsa3	白	
乍	tsa5		
榨	tsa5	文	
詐	tsa5		
昨	tsa5		
紮	tsaʔ7	白，～帳	
牐	tsaʔ8		
鍘	tsaʔ8		
叉	tsʰa1	文	
差	tsʰa1	文	
岔	tsʰa1	文	
查	tsʰa2	又	
炒	tsʰa3		
吵	tsʰa3		
鈔	tsʰa5		
插	tsʰaʔ7	白	
捎	sa1	白	
紗	sa1	文	
沙	sa1	文	
廝	sa1	互相	
傻	sa2	新	
灑	sa3		
□	sa5	密～：密合	
煠	saʔ8	水中煮	
加	ka1	文	
伽	ka1		
痂	ka1		
枷	ka1		
佳	ka1		
嘉	ka1		
家	ka1	文	
傢	ka1	文	
教	ka5		
鉸	ka1	～刀	
膠	ka1	白	
咬	ka1	白	
茄	ka1	雪～	
□	ka2	端	
稼	ka5	文	
嫁	ka5	文	
架	ka5	文	
價	ka5	文	
教	ka5	白	
漖	ka5	水多	
絞	ka3	白	
假	ka3	文	
賈	ka3	姓	
甲	kaʔ7		
裌	kaʔ7		
攑	kaʔ8	舉起，拿取	
骹	kʰa1	腳、腿	
巧	kʰa3	白	
敲	kʰa5		
卡	kʰaʔ7	魚簍	
□	kʰaʔ8	牽～：牽涉	
牙	ɡa2	文	
芽	ɡa2	文	
衙	ɡa2	文	
下	ha1	文	
瑕	ha2		
暇	ha2		
遐	ha2		
霞	ha2	文	
下	ha5	又	
孝	ha5	白	
廈	ha5	文	
夏	ha5	文	
哈	haʔ7		
嚇	haʔ7		
合	haʔ8	白，～身	
阿	a1		
丫	a1		
鴉	a1		
亞	a1	～洲	
也	a1	白	
阿	a3	又，～兄	
亞	a5	～軍	
□	a5	惡味	
押	aʔ7		
鴨	aʔ7		
盒	aʔ8	白	
壁	piaʔ7	白	
癖	pʰiaʔ7		
僻	pʰiaʔ7		
□	pʰiaʔ8	出～：出麻疹	
□	pʰiaʔ8	一大～：一大片	
爹	tia1		
摘	tiaʔ7	白	
□	tiaʔ7	即～：這裏	
糴	tiaʔ8		
拆	tʰiaʔ7	白	
遮	lia1	又	
惹	lia3		
□	liaʔ7	痕跡	
