#符号说明：-白=文/书*俗?待考	
#调值	［1］214［2］44［5］52［7］4［8］213
#ɿ	
ʦ [1]紫资姊子枝纸芝止指滋梓脂旨[5]字自至志	
ʦʰ [1]此齿[2]雌瓷辞磁[5]刺赐次伺翅	
s [1]私死司丝施匙师狮尸屎史诗始斯[2]时[5]四似是示视士柿事试市饲	
z [5]腻	
#ʅ	
tʂ [1]知[5]滞制致稚置痔治掷炙	
tʂʰ [1]侈豉痴耻[2]池迟持	
ʂ [5]世逝	
#i	
p [1]彼比秕{秕谷}[5]蔽弊毙蓖闭陛臂=被{~子}被{被动}鄙备碧璧	
pʰ [1]批痹披[2]皮疲脾琵[5]譬屁	
m [2]迷米谜靡眉美	
t [1]低底[5]帝弟第地	
tʰ [1]梯体[2]题[5]替	
n [1]你拟[2]泥尼疑[5]义{地名}溺	
l [1]礼李里[2]犁离{~开半寸}离{离别}厘[5]例励厉丽梨利痢吏栗	
ʨ [1]挤鸡肌几基几{~乎}几{~个}机饥{~荒}[5]祭际济剂计寄技冀纪记忌既季寂	
ʨʰ [1]妻启企欺起岂祈乞[2]齐脐奇骑歧祁旗[5]契器弃	
ɕ [1]洗玺徙牺西熙溪喜希稀惜{可~} [5]细婿系{联~}戏	
Ǿ [1]蚁椅伊医已以衣依尾-{~巴}[2]仪移[5]艺缢义{仗~}易姨肄意异毅逸忆亿抑翼益亦译疫役	
#u	
p [1]补堡{地名}[5]布部步抱-菢-	
pʰ [1]铺{铺设}普卜{萝~} [5]铺{店铺}脯瀑	
m [1]某亩牡拇[2]模{~子}模{~范}摹毛-谋[5]墓牧幕	
t [1]都{都城}堵[5]肚度	
tʰ [1]土吐否图	
tʂ [1]猪诸煮蛛拄珠主锥-[5]著助驻柱住注	
tʂʰ [1]初础褚{地名}楚储处{相~}处{到~}吹-帚-[2]锄除厨槌-锤-	
ʂ [1]梳疏蔬数{动词}书鼠薯枢输殊水-粟蜀[2]谁-[5]数{名词}恕竖树睡-叔-	
ʐ [1]汝儒乳擩[2]如	
k [1]姑古[5]雇故	
kʰ [1]枯苦[5]裤	
x [1]呼虎肤斧敷抚否[2]壶傅浮符[5]户护赴父附富副妇	
Ǿ [1]五污武[2]吴无[5]误务戊恶{可~}	
#y	
n [1]女	
l [1]旅缕屡履累{累积}垒-{~墙墙}[2]驴[5]虑累{连累}泪类	
ʨ [1]居举拘矩嘴-追[5]聚锯巨句具醉	
ʨʰ [1]蛆趋趣区瞿{姓}[2]渠[5]去脆-	
