#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平33 2阳平32 3阴上11ʔ 5阴去12 6阳去阴入35 8阳入43ʔ
碑	pi1	
揹	pi1	背在背上
蜱	pi1	臭虫
肥	pi2	
簰	pi2	竹筏
比	piʔ3	
婢	pʰi1	婢女
拜	pi5	
痹	pi5	
痱	pi5	
滗	pi5	禽类笼子的盖子；把水滗出来
吠	pi6	
□	pi6	顶上有盖的小茶壶
八	pi6	
拔	piʔ8	摘，拉
皮	pʰi2	
皮	pʰi2	一~针
疕	pʰiʔ3	痂，蜗牛壳
屁	pʰi5	
鼻	pʰi6	
眯	mi1	闭嘴
眉	mi2	
埋	mi2	
微	mi2	
米	miʔ3	
买	miʔ3	
卖	mi6	
沕	mi6	潜水
物	mi6	用于“什么”
抿	mi6	训
解	miʔ8	不解合音：不会
知	ti1	
滴	ti6	一点点
提	ti2	训，唔~：不必
蹄	ti2	
底	tiʔ3	
抵	tiʔ3	
弟	tʰi1	
戴	təi5	~帽子
帝	ti5	关帝
地	ti6	土地；墓地
跌	ti6	跌倒；滴落
着	ti6	训，助词，表示可能性/假设性
碟	tiʔ8	
啼	tʰi2	
提	tʰi2	
替	tʰi5	
剃	tʰi5	
贴	tʰi6	
铁	tʰi6	
帖	tʰi6	请帖；一~药
茧	ni1	训，老茧
泥	ni2	
蒂	ni5	
奈	ni6	谁；哪个
捏	neŋʔ8	
狸	li2	
犁	li2	
梨	li2	
来	li2	
铝	li2	训，沙~：铝
痢	li2	训，癞~：皮藓
铝	liuʔ3	
李	liʔ3	李子；姓氏
鲤	liʔ3	鲤鱼；鲢鲤：穿山甲
里	liʔ3	单位；衬里
礼	liʔ3	
利	li6	
荔	li6	
□	li6	胳肢窝
猎	liʔ8	跟随；放牧
栽	tsi1	
蚔	tsi2	鸡虱
齐	tsi2	牙齿齐
子	tsiʔ3	名词后缀，小称义
绺	tsiʔ3	训，一绺毛发，一捆稻草
嘴	tsiʔ3	
醉	tsi5	
侪	tsi6	很多
节	tsi6	一节
接	tsi6	
□	tsiʔ8	描述相对位置的后缀
绝	tsiʔ8	
筛	tsʰi1	
追	tsʰi1	训
刷	tsʰi5	训，刷，刮
脆	tsʰəi5	
菜	tsʰi5	
切	tsʰi6	
插	tsʰi6	
试	tshɨ5	
湿	tsʰɨ6	
插	tsʰiʔ8	训，插入；捅
西	si1	
狮	si1	
箠	si1	竹鞭
师	si1	
徐	siu2	
洗	siʔ3	
髓	siʔ3	
给	siʔ3	训，不情愿地给
许	siʔ3	训，允许
细	si5	
婿	si5	
痹	si5	训，痹~：麻痹
岁	si5	
雪	si6	
楔	si6	垫桌角
薛	si6	
折	tsɨ6	
食	sɨʔ8	
医	i1	
挨	i1	推
衣	i1	
鞋	i2	
寅	i2	
姨	i2	
矮	iʔ3	
椅	iʔ3	
以	iʔ3	
易	kʰuəi5	
围	vi2	
畏	vi5	
未	vi6	
味	vi6	
位	vi6	
挖	vi6	
越	viʔ8	
鸡	ki1	
羁	ki1	训，绑，系
街	ki1	
枝	ki1	
箕	ki1	
机	ki1	
鲑	ki2	鱼干
旗	ki2	
棋	ki2	
己	kiʔ3	天干
几	ki3	
记	ki5	记得；指环
寄	ki5	
痣	tsɨ5	
疥	ki5	
□	ki6	用于胳肢窝
喙	ki6	训，鸟喙
挟	ki6	
颊	ki6	
结	ki6	修路
夹	kiʔ8	
龟	kui1	
饥	kui1	
扣	kui1	训，反手敲脑门
鬼	kuiʔ3	
跪	kui6	
癸	kui5	
桂	kui5	
季	kui5	
刽	kui5	砍树
贵	kui5	
嘴	kui5	训
柜	kui6	
蕨	kui6	
溪	kʰi1	
骑	kʰi2	
奇	kʰi2	
蜞	kʰi2	蚜虫
齿	kʰiʔ3	
□	kʰiʔ3	用于如何
起	kʰiʔ3	
徛	kʰi1	
气	cʰi5	
器	kʰi5	
眨	kʰi6	训，闭眼，眨眼
缺	kʰi6	
吹	kʰui1	
炊	kʰui1	
疖	kʰui2	训，脓疮
咍	ŋi1	笑；杀人前歇斯底里的笑
热	ŋiʔ8	
蟹	hiʔ3	
喜	hiʔ3	
戏	hi5	
係	hi6	
狭	hiʔ8	
税	fi5	租借
肺	fi5	
睡	fi6	
血	fi6	
面	mie5	一~旗
篾	miʔ8	
宜	ŋi2	便宜
染	ŋiʔ3	
耳	ŋiʔ3	
蚁	ŋiʔ3	
二	ŋi6	
入	ŋieʔ8	
日	ŋieʔ8	
余	y2	
乳	yʔ3	腐乳
俞	y6	
猪	ky1	
珠	ky1	
朱	ky1	
车	ky1	
橱	ky2	
主	kyʔ3	
煮	kyʔ3	
莒	kyʔ3	连城莒溪
举	kyʔ3	
柱	kʰy1	
苎	kʰy1	
句	ky5	
锯	ky5	
箸	ky6	
拄	ky6	拄拐杖
嬉	kʰy1	
锤	kʰy2	
鼠	kʰyʔ3	
鱼	ŋy2	
女	ŋyʔ3	
书	fy1	
梳	fy1	
输	fy1	
疏	fy1	
墟	fy1	
薯	fy2	
水	fyʔ3	
许	fyʔ3	
树	fy6	
杯	pəi1	
