参考资料	阮桂君《五峰方言研究》	
蒻	Øo13	
沃	Øo13	
龌	Øo13	
峨	Øo13	
娥	Øo13	
噩	Øo13	
鳄	Øo13	
颚	Øo13	
锷	Øo13	
握	Øo13	
恶	Øo13	
垩	Øo13	
我	Øo42	
饿	Øo35	
卧	Øo35	
斡	Øo35	
肟	Øo35	
略	nio13	
掠	nio13	
虐	nio13	
疟	nio13	
爵	ʨio13	
嚼	ʨio13	
脚	ʨio13	
角	ʨio13	
觉	ʨio13	
攫	ʨio13	
□	ʨʰio55	
确	ʨʰio13	
却	ʨʰio13	
阙	ʨʰio13	
怯	ʨʰio13	
雀	ʨʰio13	
鹊	ʨʰio13	
削	ɕio55	
薛	ɕio13	
学	ɕio13	
削	ɕio13	
谑	ɕio13	
约	Øio13	
药	Øio13	
跃	Øio13	
岳	Øio13	
阅	Øio13	
悦	Øio13	
乐	Øio13	
钥	Øio13	
憋	pie55	
别	pie55	
鳖	pie13	
别	pie13	
瘪	pie42	
□	pie42	
孬	pʰie55	
撇	pʰie13	
氕	pʰie13	
劈	pʰie13	白读
□	pʰie13	
□	pʰie42	
□	pʰie42	
乜	mie55	
咩	mie55	
灭	mie13	
蔑	mie13	
篾	mie13	
搣	mie42	
爹	tie55	
跌	tie13	
迭	tie13	
叠	tie13	
碟	tie13	
牒	tie13	
蝶	tie13	
谍	tie13	
喋	tie13	
耋	tie13	
贴	tʰie13	
铁	tʰie13	
帖	tʰie13	
餮	tʰie13	
嗫	nie13	
涅	nie13	
臬	nie13	
镍	nie13	
啮	nie13	
猎	nie13	
列	nie13	
烈	nie13	
裂	nie13	
劣	nie13	
捏	nie13	
冽	nie13	
迾	nie13	
聂	nie13	
镊	nie13	
蹑	nie13	
颞	nie13	
咧	nie42	
接	ʨie13	
捷	ʨie13	
劫	ʨie13	
杰	ʨie13	
揭	ʨie13	
节	ʨie13	
截	ʨie13	
结	ʨie13	
洁	ʨie13	
秸	ʨie13	
嗟	ʨie13	
诘	ʨie13	
婕	ʨie13	
睫	ʨie13	
竭	ʨie13	
碣	ʨie13	
䥛	ʨie13	
孑	ʨie13	
姐	ʨie42	
借	ʨie35	
□	ʨʰie55	
妾	ʨʰie13	
且	ʨʰie13	
切	ʨʰie13	
惬	ʨʰie35	
藉	ʨʰie35	
些	ɕie55	
邪	ɕie13	
斜	ɕie13	
协	ɕie13	
歇	ɕie13	
蝎	ɕie13	
写	ɕie42	
泻	ɕie35	
卸	ɕie35	
谢	ɕie35	
泄	ɕie35	
耶	Øie55	
揶	Øie55	
椰	Øie55	
掖	Øie55	
爷	Øie13	
页	Øie13	
业	Øie13	
孽	Øie13	
曳	Øie13	
咽	Øie13	
烨	Øie13	
谒	Øie13	
腋	Øie13	
野	Øie42	
冶	Øie42	
也	Øie42	
夜	Øie35	
撅	ʨye55	
噘	ʨye55	
厥	ʨye13	
掘	ʨye13	
绝	ʨye13	
决	ʨye13	
诀	ʨye13	
掘	ʨye13	
崛	ʨye13	
爵	ʨye13	
孓	ʨye13	
憠	ʨye35	
缺	ʨʰye13	
怯	ʨʰye13	
窃	ʨʰye13	
切	ʨʰye13	
茄	ʨʰye13	
瘸	ʨʰye13	
□	ʨʰye42	
靴	ɕye13	
雪	ɕye13	
血	ɕye13	
穴	ɕye13	
薛	ɕye13	
□	ɕye42	
抈	Øye55	方言词，折叠
□	Øye55	
悦	Øye13	
阅	Øye13	
月	Øye13	
越	Øye13	
曰	Øye13	
粤	Øye13	
□	Øye42	
掰	pɤ55	
北	pɤ13	
百	pɤ13	
柏	pɤ13	
伯	pɤ13	
迫	pɤ13	
白	pɤ13	
帛	pɤ13	
泊	pɤ13	
帕	pɤ13	
檗	pɤ13	
□	pɤ42	
拍	pʰɤ55	
拍	pʰɤ13	
魄	pʰɤ13	
颇	pʰɤ13	
□	mɤ55	
墨	mɤ13	
默	mɤ13	
麦	mɤ13	
脉	mɤ13	
迈	mɤ13	
没	mɤ13	
陌	mɤ13	
□	mɤ42	
□	mɤ35	
□	fɤ55	
□	fɤ35	
□	tɤ13	
得	tɤ13	
德	tɤ13	
得	tɤ35	
特	tʰɤ13	
勒	nɤ55	
肋	nɤ13	
勒	nɤ13	
劣	nɤ13	
□	nɤ13	
遮	ʦɤ55	
哲	ʦɤ13	
蛰	ʦɤ13	
浙	ʦɤ13	
则	ʦɤ13	
仄	ʦɤ13	
泽	ʦɤ13	
择	ʦɤ13	
鹧	ʦɤ13	
辙	ʦɤ13	
贼	ʦɤ13	
窄	ʦɤ13	
摘	ʦɤ13	
责	ʦɤ13	
择	ʦɤ13	
摺	ʦɤ13	
褶	ʦɤ13	
蛰	ʦɤ13	
折	ʦɤ13	
者	ʦɤ42	
锗	ʦɤ42	
柘	ʦɤ35	
这	ʦɤ35	
车	ʦʰɤ55	
□	ʦʰɤ55	
彻	ʦʰɤ13	
撤	ʦʰɤ13	
侧	ʦʰɤ13	
测	ʦʰɤ13	
厕	ʦʰɤ13	
恻	ʦʰɤ13	
泽	ʦʰɤ13	
宅	ʦʰɤ13	
翟	ʦʰɤ13	
策	ʦʰɤ13	
册	ʦʰɤ13	
澈	ʦʰɤ13	
择	ʦʰɤ13	
拆	ʦʰɤ13	
扯	ʦʰɤ42	
□	ʦʰɤ35	
奢	sɤ55	
赊	sɤ55	
□	sɤ55	
蛇	sɤ13	
摄	sɤ13	
滠	sɤ13	
涉	sɤ13	
涩	sɤ13	
舌	sɤ13	
设	sɤ13	
塞	sɤ13	
色	sɤ13	
瑟	sɤ13	
佘	sɤ13	
啬	sɤ13	
折	sɤ13	
歙	sɤ13	
舍	sɤ42	
社	sɤ35	
赦	sɤ35	
射	sɤ35	
麝	sɤ35	
舍	sɤ35	
□	kɤ55	
□	kɤ55	
格	kɤ13	
革	kɤ13	
隔	kɤ13	
疙	kɤ13	
骼	kɤ13	
圪	kɤ13	
□	kɤ13	
嗝	kɤ42	
□	kɤ42	
□	kɤ42	
□	kɤ35	
□	kʰɤ55	
克	kʰɤ13	
客	kʰɤ13	
恪	kʰɤ13	
咳	kʰɤ13	
刻	kʰɤ13	
□	kʰɤ42	
去	kʰɯ35	白读
呵	xɤ55	
黑	xɤ13	
劾	xɤ13	
赫	xɤ13	
嚇	xɤ13	
核	xɤ13	
覈	xɤ13	
□	xɤ42	
□	xɤ42	
儿	Øɤ13	
而	Øɤ13	
热	Øɤ13	
日	Øɤ13	
额	Øɤ13	
扼	Øɤ13	
轭	Øɤ13	
厄	Øɤ13	
惹	Øɤ42	
尔	Øɤ42	
迩	Øɤ42	
洱	Øɤ42	
耳	Øɤ42	
二	Øɤ35	
饵	Øɤ35	
贰	Øɤ35	
𨃅	pai55	方言词，瘸
掰	pai55	文读
摆	pai42	
拜	pai35	
稗	pai35	
败	pai35	
排	pʰai13	
牌	pʰai13	
□	pʰai42	
派	pʰai35	
埋	mai13	
霾	mai13	
买	mai42	
卖	mai35	
迈	mai35	
呆	tai55	
□	tai13	
歹	tai42	
傣	tai42	
逮	tai42	
戴	tai35	
带	tai35	
贷	tai35	
待	tai35	
怠	tai35	
殆	tai35	
代	tai35	
袋	tai35	
玳	tai35	
甙	tai35	
胎	tʰai55	
台	tʰai55	
□	tʰai55	
台	tʰai13	
苔	tʰai13	
抬	tʰai13	
跆	tʰai13	
态	tʰai35	
太	tʰai35	
泰	tʰai35	
肽	tʰai35	
汰	tʰai35	
酞	tʰai35	
钛	tʰai35	
□	nai55	
来	nai13	
莱	nai13	
徕	nai13	
崃	nai13	
乃	nai42	
奶	nai42	
氖	nai42	
耐	nai35	
奈	nai35	
萘	nai35	
赖	nai35	
鼐	nai35	
癞	nai35	
灾	ʦai55	
栽	ʦai55	
斋	ʦai55	
宅	ʦai13	文读
翟	ʦai13	文读
宰	ʦai42	
载	ʦai42	
再	ʦai35	
债	ʦai35	
寨	ʦai35	
在	ʦai35	
载	ʦai35	
猜	ʦʰai55	
钗	ʦʰai55	
差	ʦʰai55	
偲	ʦʰai55	
才	ʦʰai13	
材	ʦʰai13	
财	ʦʰai13	
裁	ʦʰai13	
豺	ʦʰai13	
柴	ʦʰai13	
彩	ʦʰai42	
採	ʦʰai42	
睬	ʦʰai42	
菜	ʦʰai35	
蔡	ʦʰai35	
棌	ʦʰai35	
腮	sai55	
鳃	sai55	
筛	sai55	
赛	sai35	
晒	sai35	
该	kai55	
陔	kai55	
赅	kai55	
垓	kai55	
皆	kai55	
阶	kai55	
街	kai55	
改	kai42	
解	kai42	
溉	kai35	
盖	kai35	
钙	kai35	
界	kai35	
介	kai35	
芥	kai35	
疥	kai35	
届	kai35	
戒	kai35	
械	kai35	
丐	kai35	
开	kʰai55	
揩	kʰai55	
凯	kʰai42	
铠	kʰai42	
楷	kʰai42	
慨	kʰai42	
嘅	kʰai42	
概	kʰai35	
忾	kʰai35	
□	xai55	
嗨	xai55	
孩	xai13	
鞋	xai13	
还	xai13	
骸	xai13	
海	xai42	
蟹	xai42	
亥	xai35	
害	xai35	
骇	xai35	
氦	xai35	
解	xai35	
哀	Øai55	
埃	Øai55	
癌	Øai13	
挨	Øai13	
捱	Øai13	
岩	Øai13	
皑	Øai13	
□	Øai13	
矮	Øai42	
霭	Øai42	
蔼	Øai42	
蔼	Øai42	
碍	Øai35	
艾	Øai35	
砹	Øai35	
爱	Øai35	
隘	Øai35	
暧	Øai35	
隘	Øai35	
瑷	Øai35	
跩	ʦuai55	
𦛈	ʦuai55	方言词，蹲
拽	ʦuai42	
□	ʦuai35	
猜	ʦʰuai55	
揣	ʦʰuai55	
踹	ʦʰuai35	
□	ʦʰuai35	
衰	suai55	
摔	suai55	
甩	suai42	
帅	suai35	
率	suai35	
蟀	suai35	
乖	kuai55	
□	kuai13	
拐	kuai42	
柺	kuai42	
怪	kuai35	
蒯	kʰuai42	
块	kʰuai42	
傀	kʰuai42	
快	kʰuai35	
筷	kʰuai35	
会	kʰuai35	
块	kʰuai35	
哙	kʰuai35	
脍	kʰuai35	
怀	xuai13	
槐	xuai13	
淮	xuai13	
踝	xuai13	
徊	xuai13	
□	xuai42	
壞	xuai35	
坏	xuai35	
歪	Øuai55	
□	Øuai13	
崴	Øuai42	
外	Øuai35	
蓖	pei55	
杯	pei55	
碑	pei55	
卑	pei55	
悲	pei55	
背	pei55	
贝	pei35	
蔽	pei35	
敝	pei35	
弊	pei35	
币	pei35	
毙	pei35	
闭	pei35	
辈	pei35	
倍	pei35	
佩	pei35	
臂	pei35	
婢	pei35	
避	pei35	
备	pei35	
狈	pei35	
悖	pei35	
惫	pei35	
箅	pei35	
鐾	pei35	
背	pei35	
焙	pei35	
被	pei35	
碚	pei35	
蓓	pei35	
批	pʰei55	
披	pʰei55	
胚	pʰei55	
呸	pʰei55	
坯	pʰei55	
培	pʰei13	
陪	pʰei13	
赔	pʰei13	
裴	pʰei13	
翡	pʰei42	
沛	pʰei35	
配	pʰei35	
佩	pʰei35	
辔	pʰei35	
霈	pʰei35	
霉	mei55	
没	mei55	
梅	mei13	
枚	mei13	
媒	mei13	
煤	mei13	
眉	mei13	
楣	mei13	
玫	mei13	
莓	mei13	
酶	mei13	
嵋	mei13	
楣	mei13	
湄	mei13	
靡	mei13	
每	mei42	
美	mei42	
镁	mei42	
妹	mei35	
昧	mei35	
媚	mei35	
寐	mei35	
魅	mei35	
袂	mei35	
飞	fei55	
非	fei55	
妃	fei55	
菲	fei55	
啡	fei55	
扉	fei55	
霏	fei55	
蜚	fei55	
琲	fei55	
肥	fei13	
淝	fei13	
匪	fei42	
斐	fei42	
绯	fei42	
诽	fei42	
翡	fei42	
悱	fei42	
沸	fei42	
废	fei35	
肺	fei35	
吠	fei35	
沸	fei35	
痱	fei35	
狒	fei35	
费	fei35	
堆	tei55	
逮	tei55	
怼	tei13	
□	tei42	
对	tei35	
碓	tei35	
队	tei35	
兑	tei35	
推	tʰei55	
颓	tʰei13	
腿	tʰei42	
退	tʰei35	
褪	tʰei35	
蜕	tʰei35	
礌	nei55	
雷	nei13	
蕾	nei13	
镭	nei13	
擂	nei13	
磊	nei42	
蕊	nei42	
垒	nei42	
羸	nei42	
耒	nei42	
儡	nei42	
累	nei42	
内	nei35	
类	nei35	
泪	nei35	
累	nei35	
酹	nei35	
诶	Øei55	
诶	Øei13	
□	nuei55	
雷	nuei13	又读
累	nuei42	又读
泪	nuei35	又读
累	nuei35	又读
芮	nuei35	
追	ʦuei55	
锥	ʦuei55	
椎	ʦuei55	
嘴	ʦuei42	
罪	ʦuei35	
最	ʦuei35	
赘	ʦuei35	
醉	ʦuei35	
缀	ʦuei35	
坠	ʦuei35	
赘	ʦuei35	
惴	ʦuei35	
催	ʦʰuei55	
摧	ʦʰuei55	
吹	ʦʰuei55	
炊	ʦʰuei55	
崔	ʦʰuei55	
垂	ʦʰuei13	
槌	ʦʰuei13	
锤	ʦʰuei13	
璀	ʦʰuei42	
脆	ʦʰuei35	
翠	ʦʰuei35	
萃	ʦʰuei35	
悴	ʦʰuei35	
淬	ʦʰuei35	
瘁	ʦʰuei35	
粹	ʦʰuei35	
碎	ʦʰuei35	
虽	suei55	
绥	suei55	
睢	suei55	
濉	suei55	
随	suei13	
谁	suei13	
隋	suei13	
髓	suei13	
水	suei42	
岁	suei35	
税	suei35	
睡	suei35	
遂	suei35	
邃	suei35	
燧	suei35	
穗	suei35	
祟	suei35	
碎	suei35	
瑞	suei35	
隧	suei35	
圭	kuei55	
闺	kuei55	
规	kuei55	
龟	kuei55	
归	kuei55	
皈	kuei55	
硅	kuei55	
鲑	kuei55	
珪	kuei55	
瑰	kuei55	
诡	kuei42	
轨	kuei42	
鬼	kuei42	
癸	kuei42	
桂	kuei35	
跪	kuei35	
柜	kuei35	
贵	kuei35	
刽	kuei35	
鳜	kuei35	
盔	kʰuei55	
亏	kʰuei55	
窥	kʰuei55	
岿	kʰuei55	
逵	kʰuei13	
葵	kʰuei13	
魁	kʰuei13	
奎	kʰuei13	
睽	kʰuei13	
夔	kʰuei13	
馗	kʰuei13	
跬	kʰuei42	
傀	kʰuei42	
愧	kʰuei35	
溃	kʰuei35	
匮	kʰuei35	
馈	kʰuei35	
篑	kʰuei35	
聩	kʰuei35	
恢	xuei55	
灰	xuei55	
麾	xuei55	
挥	xuei55	
辉	xuei55	
徽	xuei55	
诙	xuei55	
晖	xuei55	
喙	xuei55	
珲	xuei55	
袆	xuei55	
回	xuei13	
蛔	xuei13	
茴	xuei13	
悔	xuei42	
毁	xuei42	
汇	xuei35	
绘	xuei35	
桧	xuei35	
晦	xuei35	
惠	xuei35	
彗	xuei35	
慧	xuei35	
讳	xuei35	
卉	xuei35	
贿	xuei35	
秽	xuei35	
荟	xuei35	
诲	xuei35	
恚	xuei35	
会	xuei35	
威	Øuei55	
煨	Øuei55	
薇	Øuei55	
巍	Øuei55	
逶	Øuei55	
维	Øuei13	
惟	Øuei13	
遗	Øuei13	
微	Øuei13	
违	Øuei13	
围	Øuei13	
闱	Øuei13	
帷	Øuei13	
唯	Øuei13	
惟	Øuei13	
潍	Øuei13	
危	Øuei13	
为	Øuei13	
桅	Øuei13	
嵬	Øuei13	
委	Øuei42	
尾	Øuei42	
伟	Øuei42	
纬	Øuei42	
娓	Øuei42	
萎	Øuei42	
伪	Øuei42	
韦	Øuei42	
痿	Øuei42	
韪	Øuei42	
猬	Øuei42	
苇	Øuei42	
炜	Øuei42	
玮	Øuei42	
位	Øuei35	
卫	Øuei35	
锐	Øuei35	
未	Øuei35	
味	Øuei35	
魏	Øuei35	
畏	Øuei35	
喂	Øuei35	
猥	Øuei35	
慰	Øuei35	
蔚	Øuei35	
纬	Øuei35	
胃	Øuei35	
谓	Øuei35	
蝟	Øuei35	
渭	Øuei35	
瑞	Øuei35	
为	Øuei35	
包	pau55	
胞	pau55	
苞	pau55	
孢	pau55	
褒	pau55	
雹	pau13	
保	pau42	
堡	pau42	
宝	pau42	
饱	pau42	
煲	pau42	
葆	pau42	
褓	pau42	
鸨	pau42	
抱	pau35	
报	pau35	
暴	pau35	
爆	pau35	
曝	pau35	
豹	pau35	
鲍	pau35	
菢	pau35	
抛	pʰau55	
泡	pʰau55	
袍	pʰau13	
咆	pʰau13	
庖	pʰau13	
袍	pʰau13	
刨	pʰau13	
跑	pʰau42	
铇	pʰau35	
炮	pʰau35	
泡	pʰau35	
砲	pʰau35	
猫	mau55	
毛	mau13	
茅	mau13	
锚	mau13	
矛	mau13	
髦	mau13	
牦	mau13	
蟊	mau13	
卯	mau42	
铆	mau42	
昴	mau42	
□	mau42	
□	mau42	
冒	mau35	
帽	mau35	
瑁	mau35	
冇	mau35	
貌	mau35	
茂	mau35	
贸	mau35	
袤	mau35	
耄	mau35	
刀	tau55	
叨	tau55	
氘	tau55	
□	tau13	
祷	tau42	
导	tau42	
岛	tau42	
捣	tau42	
蹈	tau42	
禱	tau42	
倒	tau42	
道	tau35	
稻	tau35	
到	tau35	
盗	tau35	
悼	tau35	
倒	tau35	
纛	tau35	
滔	tʰau55	
韬	tʰau55	
涛	tʰau55	
绦	tʰau55	
焘	tʰau55	
掏	tʰau55	
饕	tʰau55	
桃	tʰau13	
逃	tʰau13	
淘	tʰau13	
洮	tʰau13	
淘	tʰau13	
陶	tʰau13	
萄	tʰau13	
涛	tʰau13	
讨	tʰau42	
套	tʰau35	
捞	nau55	
孬	nau55	
唠	nau55	
劳	nau13	
牢	nau13	
挠	nau13	
铙	nau13	
崂	nau13	
脑	nau42	
恼	nau42	
老	nau42	
瑙	nau42	
姥	nau42	
佬	nau42	
痨	nau35	
闹	nau35	
涝	nau35	
□	nau35	
□	nau35	
遭	ʦau55	
糟	ʦau55	
昭	ʦau55	
招	ʦau55	
钊	ʦau55	
朝	ʦau55	
着	ʦau13	
早	ʦau42	
枣	ʦau42	
蚤	ʦau42	
澡	ʦau42	
藻	ʦau42	
找	ʦau42	
沼	ʦau42	
爪	ʦau42	
皂	ʦau35	
灶	ʦau35	
罩	ʦau35	
赵	ʦau35	
兆	ʦau35	
照	ʦau35	
诏	ʦau35	
造	ʦau35	
燥	ʦau35	
噪	ʦau35	
皂	ʦau35	
召	ʦau35	
肇	ʦau35	
超	ʦʰau55	
糙	ʦʰau55	
操	ʦʰau55	
抄	ʦʰau55	
钞	ʦʰau55	
曹	ʦʰau13	
漕	ʦʰau13	
潮	ʦʰau13	
巢	ʦʰau13	
嘈	ʦʰau13	
嘲	ʦʰau13	
晁	ʦʰau13	
槽	ʦʰau13	
朝	ʦʰau13	
草	ʦʰau42	
炒	ʦʰau42	
吵	ʦʰau42	
躁	ʦʰau35	
肏	ʦʰau35	
造	ʦʰau35	
糙	ʦʰau35	
骚	sau55	
搔	sau55	
筲	sau55	
梢	sau55	
捎	sau55	
烧	sau55	
稍	sau55	
缫	sau55	
勺	sau13	
芍	sau13	
苕	sau13	
韶	sau13	
嫂	sau42	
少	sau42	
扫	sau42	
绍	sau35	
邵	sau35	
劭	sau35	
臊	sau35	
哨	sau35	
潲	sau35	
艄	sau35	
扫	sau35	
少	sau35	
高	kau55	
膏	kau55	
镐	kau55	
羔	kau55	
糕	kau55	
皋	kau55	
茭	kau55	
告	kau55	
篙	kau55	
稿	kau42	
搞	kau42	
藁	kau42	
睾	kau42	
缟	kau42	
槁	kau42	
告	kau35	
诰	kau35	
觉	kau35	
□	kau35	
敲	kʰau55	
考	kʰau42	
烤	kʰau42	
拷	kʰau42	
靠	kʰau35	
犒	kʰau35	
铐	kʰau35	
蒿	xau55	
薅	xau55	
豪	xau13	
壕	xau13	
嚎	xau13	
毫	xau13	
蚝	xau13	
号	xau13	
好	xau42	
耗	xau35	
浩	xau35	
昊	xau35	
皓	xau35	
灏	xau35	
好	xau35	
号	xau35	
熬	Øau13	
凹	Øau13	
嗷	Øau13	
熬	Øau13	
獒	Øau13	
鏊	Øau13	
坳	Øau13	
饶	Øau13	
桡	Øau13	
敖	Øau13	
鳌	Øau13	
翱	Øau13	
螯	Øau13	
遨	Øau13	
鏖	Øau13	
咬	Øau42	
袄	Øau42	
扰	Øau42	
拗	Øau42	
绕	Øau42	
傲	Øau35	
袄	Øau35	
奥	Øau35	
懊	Øau35	
坳	Øau35	
墺	Øau35	
绕	Øau35	
懊	Øau35	
标	piau55	
鳔	piau55	
镖	piau55	
彪	piau55	
飙	piau55	
飚	piau55	
骠	piau55	
膘	piau55	
骉	piau55	
猋	piau55	
表	piau42	
婊	piau42	
裱	piau42	
飘	pʰiau55	
漂	pʰiau55	
缥	pʰiau55	
嘌	pʰiau55	
瓢	pʰiau13	
剽	pʰiau13	
嫖	pʰiau13	
朴	pʰiau13	
瞟	pʰiau42	
漂	pʰiau42	
票	pʰiau35	
漂	pʰiau35	
瞄	miau55	
喵	miau55	
猫	miau55	
苗	miau13	
描	miau13	
藐	miau42	
邈	miau42	
渺	miau42	
秒	miau42	
淼	miau42	
渺	miau42	
缈	miau42	
庙	miau35	
妙	miau35	
谬	miau35	
刁	tiau55	
貂	tiau55	
雕	tiau55	
叼	tiau55	
凋	tiau55	
碉	tiau55	
鲷	tiau55	
屌	tiau42	
钓	tiau35	
吊	tiau35	
掉	tiau35	
调	tiau35	
铫	tiau35	
佻	tʰiau55	
勺	tʰiau55	
挑	tʰiau55	
条	tʰiau13	
迢	tʰiau13	
笤	tʰiau13	
髫	tʰiau13	
调	tʰiau13	
窕	tʰiau13	
挑	tʰiau42	
斢	tʰiau42	
跳	tʰiau35	
糶	tʰiau35	
粜	tʰiau35	
眺	tʰiau35	
□	niau55	
燎	niau13	
獠	niau13	
簝	niau13	
缭	niau13	
療	niau13	
聊	niau13	
辽	niau13	
疗	niau13	
寥	niau13	
撩	niau13	
𢿰	niau13	
寮	niau13	
了	niau42	
尿	niau35	
料	niau35	
廖	niau35	
撂	niau35	
镣	niau35	
瞭	niau35	
交	ʨiau55	
郊	ʨiau55	
胶	ʨiau55	
蛟	ʨiau55	
跤	ʨiau55	
焦	ʨiau55	
礁	ʨiau55	
椒	ʨiau55	
骄	ʨiau55	
娇	ʨiau55	
浇	ʨiau55	
鲛	ʨiau55	
教	ʨiau55	
蕉	ʨiau55	
嚼	ʨiau13	
饺	ʨiau42	
绞	ʨiau42	
狡	ʨiau42	
铰	ʨiau42	
皎	ʨiau42	
佼	ʨiau42	
侥	ʨiau42	
搅	ʨiau42	
搞	ʨiau42	
剿	ʨiau42	
矫	ʨiau42	
缴	ʨiau42	
较	ʨiau35	
酵	ʨiau35	
轿	ʨiau35	
叫	ʨiau35	
窖	ʨiau35	
觉	ʨiau35	
醮	ʨiau35	
校	ʨiau35	
教	ʨiau35	
藠	ʨiau35	
敲	ʨʰiau55	
锹	ʨʰiau55	
悄	ʨʰiau55	
跷	ʨʰiau55	
橇	ʨʰiau55	
缲	ʨʰiau55	
樵	ʨʰiau13	
瞧	ʨʰiau13	
憔	ʨʰiau13	
谯	ʨʰiau13	
劁	ʨʰiau13	
乔	ʨʰiau13	
侨	ʨʰiau13	
桥	ʨʰiau13	
荞	ʨʰiau13	
硚	ʨʰiau13	
巧	ʨʰiau42	
悄	ʨʰiau42	
俏	ʨʰiau35	
翘	ʨʰiau35	
窍	ʨʰiau35	
撬	ʨʰiau35	
鞘	ʨʰiau35	
峭	ʨʰiau35	
诮	ʨʰiau35	
□	ʨʰiau35	
肖	ɕiau55	
消	ɕiau55	
逍	ɕiau55	
宵	ɕiau55	
霄	ɕiau55	
硝	ɕiau55	
销	ɕiau55	
魈	ɕiau55	
蛸	ɕiau55	
枵	ɕiau55	
嚣	ɕiau55	
萧	ɕiau55	
箫	ɕiau55	
潇	ɕiau55	
枭	ɕiau55	
骁	ɕiau55	
淆	ɕiau13	
崤	ɕiau13	
猇	ɕiau13	
小	ɕiau42	
晓	ɕiau42	
筱	ɕiau42	
孝	ɕiau35	
哮	ɕiau35	
效	ɕiau35	
笑	ɕiau35	
啸	ɕiau35	
校	ɕiau35	
夭	Øiau55	
妖	Øiau55	
邀	Øiau55	
腰	Øiau55	
要	Øiau55	
幺	Øiau55	
吆	Øiau55	
肴	Øiau13	
淆	Øiau13	
摇	Øiau13	
谣	Øiau13	
遥	Øiau13	
窑	Øiau13	
瑶	Øiau13	
傜	Øiau13	
繇	Øiau13	
姚	Øiau13	
尧	Øiau13	
窈	Øiau13	
徭	Øiau13	
爻	Øiau13	
舀	Øiau42	
要	Øiau35	
耀	Øiau35	
曜	Øiau35	
鹞	Øiau35	
哞	mou55	
谋	mou13	
某	mou42	
亩	mou42	又读
母	mou42	又读
拇	mou42	又读
茂	mou35	老派
贸	mou35	老派
浮	fou13	
否	fou42	
兜	tou55	
蔸	tou55	
篼	tou55	
都	tou55	
独	tou13	又读
读	tou13	又读
牍	tou13	又读
笃	tou13	又读
督	tou13	又读
毒	tou13	又读
陡	tou42	
抖	tou42	
斗	tou42	
肚	tou42	又读
豆	tou35	
逗	tou35	
度	tou35	又读
渡	tou35	又读
镀	tou35	又读
痘	tou35	
斗	tou35	
𢭃	tou35	
偷	tʰou55	
头	tʰou13	
投	tʰou13	
徒	tʰou13	又读
屠	tʰou13	又读
途	tʰou13	又读
塗	tʰou13	又读
图	tʰou13	又读
敨	tʰou42	
透	tʰou35	
兔	tʰou35	又读
吐	tʰou35	又读
□	nou55	
楼	nou13	
奴	nou13	又读
炉	nou13	又读
卢	nou13	又读
绿	nou13	又读
录	nou13	又读
禄	nou13	又读
鹿	nou13	又读
驴	nou13	白读
庐	nou13	又读
六	nou13	
陆	nou13	又读
耧	nou13	
芦	nou13	又读
鸬	nou13	又读
篓	nou42	
努	nou42	又读
鲁	nou42	又读
橹	nou42	又读
虏	nou42	又读
卤	nou42	又读
搂	nou42	
漏	nou35	
陋	nou35	
怒	nou35	又读
路	nou35	又读
赂	nou35	又读
露	nou35	
鹭	nou35	又读
邹	ʦou55	
周	ʦou55	
舟	ʦou55	
州	ʦou55	
洲	ʦou55	
粥	ʦou55	
绉	ʦou55	
轴	ʦou13	
走	ʦou42	
肘	ʦou42	
奏	ʦou35	
揍	ʦou35	
昼	ʦou35	
宙	ʦou35	
皱	ʦou35	
绉	ʦou35	
骤	ʦou35	
咒	ʦou35	
胄	ʦou35	
做	ʦou35	
纣	ʦou35	
抽	ʦʰou55	
绸	ʦʰou13	
稠	ʦʰou13	
筹	ʦʰou13	
愁	ʦʰou13	
仇	ʦʰou13	
酬	ʦʰou13	
轴	ʦʰou13	
丑	ʦʰou42	
凑	ʦʰou35	
臭	ʦʰou35	
搜	sou55	
飕	sou55	
收	sou55	
馊	sou55	
手	sou42	
首	sou42	
守	sou42	
瘦	sou35	
兽	sou35	
受	sou35	
寿	sou35	
授	sou35	
售	sou35	
勾	kou55	
钩	kou55	
沟	kou55	
佝	kou55	
篝	kou55	
狗	kou42	
苟	kou42	
枸	kou42	
够	kou35	
构	kou35	
购	kou35	
垢	kou35	
诟	kou35	
媾	kou35	
勾	kou35	
抠	kʰou55	
口	kʰou42	
寇	kʰou35	
叩	kʰou35	
扣	kʰou35	
齁	xou55	
□	xou55	
侯	xou13	
喉	xou13	
猴	xou13	
瘊	xou13	
篌	xou13	
吼	xou42	
厚	xou35	
后	xou35	
候	xou35	
逅	xou35	
欧	Øou55	
瓯	Øou55	
鸥	Øou55	
殴	Øou55	
柔	Øou13	
揉	Øou13	
肉	Øou13	
藕	Øou42	
偶	Øou42	
耦	Øou42	
呕	Øou42	
怄	Øou35	
沤	Øou35	
辱	Øou35	
褥	Øou35	
缛	Øou35	
丢	tiou55	
妞	niou55	
溜	niou55	
扭	niou55	
流	niou13	
刘	niou13	
浏	niou13	
留	niou13	
瘤	niou13	
馏	niou13	
硫	niou13	
琉	niou13	
纽	niou42	
扭	niou42	
柳	niou42	
榴	niou42	
遛	niou35	
鎏	niou35	
□	niou35	
溜	niou35	
揪	ʨiou55	
鸠	ʨiou55	
究	ʨiou55	
